title,category,venue,address,date,url,lat,lon
Christmas Garden,Handel/Markt,Botanischer Garten Berlin,"Königin-Luise-Str. 6-8, 14195 Berlin",Mon. 15.12,https://www.tip-berlin.de/event/handel+markt/1465.2852511439/,52.4582459,13.3048516
On Air On Fire,Bühne/Schauspiel,Theater an der Parkaue,"Parkaue 29, 10367 Berlin",Mon. 15.12,https://www.tip-berlin.de/event/buehne+schauspiel/1465.10097055/,52.516993,13.4772031
Xmas Shop in der Kopenhagener,Handel/Markt,MEHMET’s HALLOUMI DÖNER BY BAMYA,"Kopenhagener Str., 10437 Berlin",Mon. 15.12,https://www.tip-berlin.de/event/handel+markt/1465.2864192661/,52.5488941,13.4062727
On Water. WasserWissen in Berlin,Ausstellung/Museen,Humboldt Forum,"Schloßplatz, 10178 Berlin",Mon. 15.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005240/,52.5167106,13.4024811
I'm not here forrrrr…,Ausstellung/Andere Orte,Gropius Bau,"Niederkirchnerstr. 7, 10963 Berlin",Mon. 15.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.30005224/,52.5066209,13.3819472
Konstellationen,Ausstellung/Andere Orte,Gropius Bau,"Niederkirchnerstr. 7, 10963 Berlin",Mon. 15.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.30005223/,52.5066209,13.3819472
"Make a travel deep of your inside, and don’t forget me to take",Ausstellung/Andere Orte,PalaisPopulaire,"Unter den Linden 5, 10117 Berlin",Mon. 15.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.30005184/,52.5171465,13.3961451
Weihnachtsshow 2025: Sido & Gäste,Musik/Konzert,Columbiahalle,"Columbiadamm 13-21, 10965 Berlin",Mon. 15.12,https://www.tip-berlin.de/event/musik+konzert/1465.2853790406/,52.4847383,13.392546
Wintermarkt Schloßplatz,Handel/Markt,Humboldt Forum,"Schloßplatz, 10178 Berlin",Mon. 15.12,https://www.tip-berlin.de/event/handel+markt/1465.2855470143/,52.5167106,13.4024811
"""Immer wieder muss die Welt neu gesehen werden""",Ausstellung/Museen,Brücke-Museum,"Bussardsteig 9, 14195 Berlin",Mon. 15.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005280/,52.4669327,13.2747539
"Heute noch, morgen schon",Ausstellung/Museen,Nikolaikirche,"Nikolaikirchpl., 10178 Berlin",Mon. 15.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005244/,52.5168734,13.4075394
Käthe Kollwitz - Stille Kraft,Ausstellung/Museen,Käthe-Kollwitz-Museum,"Spandauer Damm 10, 14059 Berlin",Mon. 15.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.2853615592/,52.5205554,13.2963595
