title,date,time,address,description,url,lat,lon
"Besuch der Dachterrasse:  Ausblicke auf die Geschichte des Ortes, Kunst am Bau und die Wahrzeichen Berlins",15.12.2025,10:30 – 		18:30 Uhr,Humboldt Forum – Dachterrasse,"In 30 Meter Höhe bietet die Dachterrasse des Humboldt Forums in Berlin einen einzigartigen Ausblick mit Blick in alle vier Himmelsrichtungen auf die Wahrzeichen Berlins mit Museumsinsel, Brandenburger Tor, Alexanderplatz, Berliner Dom und Marienkirche. Aber…",https://www.visitberlin.de/de/event/besuch-der-dachterrasse-ausblicke-auf-die-geschichte-des-ortes-kunst-am-bau-und-die,52.5172643,13.4005396
"LICHTER, LIEDER, PFEFFERKUCHEN",15.12.2025,14:00 Uhr,Theater im Palais,"Weihnachten rückt näher und im Theater im Palais Berlin wird es gemütlich. Bei Plätzchen und hausgemachtem Punsch erfahren Sie alles, was Sie schon immer über Engel wissen wollten. Wie wird man zum Engel? Was sind Engelszahlen? Und warum ist Weihnachten…",https://www.visitberlin.de/de/event/lichter-lieder-pfefferkuchen,52.5185239,13.3954981
Winterträume Klassik trifft Pop Mo'Voce,15.12.2025,19:00 Uhr,Blackmore's - Berlins Musikzimmer,Erleben Sie einen unvergesslichen Abend voller musikalischer Magie! Genießen Sie Pop-Hits in neuem klassischen Gewand und zeitlose Meisterwerke mit modernen Sounds in einem einzigartigen Konzerterlebnis.,https://www.visitberlin.de/de/event/wintertraeume-klassik-trifft-pop-movoce,52.4860865,13.2962459
Madama Butterfly,15.12.2025,19:30 Uhr,Deutsche Oper Berlin,"Erleben Sie Puccinis Madama Butterfly 2025 live an der Deutschen Oper Berlin. Eine ergreifende Oper über Liebe, Einsamkeit und Verrat – in der bewegenden Inszenierung von Pier Luigi Samaritani.",https://www.visitberlin.de/de/event/madama-butterfly-0,52.5121441,13.3083771
Nicht nur zur Weihnachtszeit,15.12.2025,19:30 Uhr,Renaissance-Theater Berlin,Schauspieler Dietmar Bär und Musiker Stefan Weinzierl gastieren am 15.12.2025 mit Heinrich Bölls Satire „Nicht nur zur Weihnachtszeit“ im Renaissance Theater Berlin.,https://www.visitberlin.de/de/event/nicht-nur-zur-weihnachtszeit,52.5103384,13.323503
Chaos Royal: IMPROTANIA – das Spiel um die Krone,15.12.2025,20:00 Uhr,BKA Theater,Chaos Royal steht für feinstes Improvisationstheater und erstklassiges Entertainment – und macht für Sie den Montag zum besten Tag der Woche!,https://www.visitberlin.de/de/event/chaos-royal-improtania-das-spiel-um-die-krone,52.4936405,13.3876998
Stefanie Hertel präsentiert: Family Christmas 2025,15.12.2025,20:00 Uhr,Wintergarten Varieté,"Berühmte Weihnachtsklassiker wechseln sich mit modernen Interpretationen traditioneller vorweihnachtlicher Lieder und eigenen Songs ab – eine faszinierende, liebevoll zusammengestellte Mischung aus Nostalgie und frischem Country-Sound.",https://www.visitberlin.de/de/event/stefanie-hertel-praesentiert-family-christmas-2025,52.5021802,13.364582
