title,url,address,description,detailed_date,lat,lon
"Ghost Scapes (Ambient/Psychedelic Pop, Belfast/London/Berlin)",https://www.gratis-in-berlin.de/heute/item/2076334-ghost-scapes-ambient-psychedelic-pop-belfast-london-berlin,Loeperplatz  10367 Berlin,,"Montag 15.12.2025									  
											 - Anfangszeit: 19:30 Uhr",52.5205859,13.4799292
Das DIGITAL CAFÉ für Senior*innen mit Weihnachts-Special,https://www.gratis-in-berlin.de/heute/item/2069002-das-offene-awo-digital-cafe-fuer-senior-innen,Karl,,"Montag 15.12.2025									  
											 - Anfangszeit: 16:00 Uhr",50.0419792,6.8028082
'Beste' Comedy Stand-Up 19:30 Uhr in der 'Beste' Bar im Wedding direkt am Leopoldplatz,https://www.gratis-in-berlin.de/heute/item/2071152-beste-stand-up-comedy-in-der-beste-bar-im-wedding-direkt-am-leopoldplatz-20-uhr,Willdenowstraße 12a 13353 Berlin,,"Montag 15.12.2025									  
											 - Anfangszeit: 19:30 Uhr",52.5438832,13.3606142
Historischer Weihnachtsmarkt auf RAW Gelände (montags frei),https://www.gratis-in-berlin.de/heute/item/2034073-historischer-weihnachtsmarkt-auf-raw-gelaende-taeglich-bis-22-12-montags-frei,Revaler Straße  99 10245 Berlin,,"Montag 15.12.2025									  
											 - Anfangszeit: 15:00 Uhr",52.5060192,13.4560028
Kurzfilmtag in der Stadtteilbibliothek Lichtenrade,https://www.gratis-in-berlin.de/heute/item/2076085-kurzfilmtag-in-der-stadtteilbibliothek-lichtenrade,Steinstr. 41 12307 Berlin,,"Montag 15.12.2025									  
											 - Anfangszeit: 11:00 Uhr",52.3878731,13.3971538
Bescherung für Alle! Kurt-Tucholsky-Bibliothek Moabit,https://www.gratis-in-berlin.de/heute/item/2076273-bescherung-fuer-alle,Rostockerstrasse 32 B 10553 Berlin,,"Montag 15.12.2025									  
											 - Anfangszeit: 14:45 Uhr",52.531583,13.3262022
Kaffeehauskonzerte mit Kurt Wiklander (Schweden),https://www.gratis-in-berlin.de/heute/item/2075616-kaffeehauskonzerte-mit-kurt-wiklander-schweden,Marzahner Promenade  55 12679 Berlin,,"Montag 15.12.2025									  
											 - Anfangszeit: 16:00 Uhr",52.5467698,13.5567171
Publishing & Distribution - powered by iMusician,https://www.gratis-in-berlin.de/heute/item/2075107-publishing-distribution-powered-by-imusician,Wrangelstr. 25 10997 Berlin,,"Montag 15.12.2025									  
											 - Anfangszeit: 18:30 Uhr",52.502122,13.4329412
"Mad Monday Earlyshow: Stand up Comedy im Comedy Club ""Mad Monkey Room"" Prenzlauer Berg, direkt am Ubhf Eberswalderstr 18:30 Uhr",https://www.gratis-in-berlin.de/heute/item/2069195-mad-monday-earlyshow-stand-up-im-comedy-club-mad-monkey-room-prenzlauer-berg-direkt-am-ubhf-eberswalder-str-18-30-uhr,Danziger Str  1 10435 Berlin,,"Montag 15.12.2025									  
											 - Anfangszeit: 18:30 Uhr",52.5411151,13.4127101
Spielenachmittage für Jung & Alt in der Stadtteilbibliothek Lichtenrade,https://www.gratis-in-berlin.de/heute/item/2074226-spielenachmittage-fuer-jung-alt-in-der-stadtteilbibliothek-lichtenrade,Steinstr. 41 12307 Berlin,,Dienstag 02.12.2025 bis Dienstag 16.12.2025									   - Anfangszeit: 15:00 Uhr,52.3878731,13.3971538
