title,url,address,description,detailed_date,lat,lon
NoonSong: Die festlichen neun Lesungen und Lieder zum Advent,https://www.gratis-in-berlin.de/heute/item/2057413-noonsong,Nassauische Str. 66,,"Samstag 20.12.2025									  
											 - Anfangszeit: 12:00 Uhr",52.4938352,13.3265974
"138. Kino im Möckernkiez: „To Germany, with love (The worst thing), Dt Ut",https://www.gratis-in-berlin.de/heute/item/2073024-kino-im-moeckernkiez-no-other-land-doku-2024-fsk-16-dt-untertitel,Möckernkiez 2 10963 Berlin,,"Samstag 20.12.2025									  
											 - Anfangszeit: 18:00 Uhr",52.4921312,13.3772065
Ausstellungseinführung mit dem Willkommensteam,https://www.gratis-in-berlin.de/heute/item/2071882-ausstellungseinfuehrung-mit-dem-willkommensteam,Kiehnwerderallee  2 12437 Berlin,,"Samstag 20.12.2025									  
											 - Anfangszeit: 15:00 Uhr",52.4814927,13.4943009
Weihnachten in Westend - kunsthandwerklicher Weihnachtsmarkt,https://www.gratis-in-berlin.de/heute/item/2063523-weihnachten-in-westend-kunsthandwerklicher-weihnachtsmarkt,Preußenallee 24 14052 Berlin,,Samstag 20.12.2025 bis Sonntag 21.12.2025									   - Anfangszeit: 12:00 Uhr,52.5130591,13.2598562
Stand-up Comedy Late-Show im Mad Monkey Room mit Alekseij Upatov & Philipp Schlüter,https://www.gratis-in-berlin.de/heute/item/2076059-stand-up-comedy-late-show-mit-alekseij-upatov-philipp-schlueter,Danziger Str. 1 10435 Berlin,,"Samstag 20.12.2025									  
											 - Anfangszeit: 22:30 Uhr",52.5410547,13.4130799
Weihnachtsmarkt Bölschestraße Friedrichshagen,https://www.gratis-in-berlin.de/heute/item/2076423-weihnachtsmarkt-boelschestrasse-friedrichshagen,Bölschestr.  12587  Berlin,,Freitag 19.12.2025 bis Sonntag 21.12.2025									   - Anfangszeit: :00 Uhr,52.4491063,13.6245211
Ausstellungsbegleitung: Tränenpalast. Ort der deutschen Teilung,https://www.gratis-in-berlin.de/heute/item/2053208-bahnhofsrundgang-am-traenenpalast,Reichstagufer 17 10117 Berlin,,"Samstag 20.12.2025									  
											 - Anfangszeit: 15:00 Uhr",52.5208847,13.3869821
2nd Language Comedy -deutsch,https://www.gratis-in-berlin.de/heute/item/2076253-2nd-language-comedy-deutsch,"Rigaer Str, 77 10247 Berlin",,"Samstag 20.12.2025									  
											 - Anfangszeit: 20:29 Uhr",52.5166341,13.4644368
Karaoke @ Peppi Guggenheim: BarFly Rock-Karaoke,https://www.gratis-in-berlin.de/heute/item/2076204-karaoke-peppi-guggenheim-barfly-rock-karaoke,Weichselstrasse 7 12043 Berlin,,"Samstag 20.12.2025									  
											 - Anfangszeit: 20:00 Uhr",52.4842382,13.4330943
Erzähltheater für Kinder - Mit Kathleen Rappolt (einzelne Termine),https://www.gratis-in-berlin.de/heute/item/2075990-erzaehltheater-fuer-kinder-mit-kathleen-rappolt-einzelne-termine,Berlin,,Freitag 28.11.2025 bis Samstag 20.12.2025									   - Anfangszeit: 16:30 Uhr,52.5173885,13.3951309
