Event name,Date,Start Time,End Time,Artists,Venue,Venue Address,Venue Latitude,Venue Longitude,Event URL,Number of guests attending
"Groove Therapy: elliephunk, Nani&T, Pretty Gordo, Prosekko Papi",2025-12-20T00:00:00.000,2025-12-20T23:00:00.000,2025-12-21T06:00:00.000,"elliephunk, Pretty Gordo, Prosekko Papi",Bulbul Berlin,,52.4993312,13.4242521,/events/2307395,50
Tresor: Klub-Weihnachten,2025-12-20T00:00:00.000,2025-12-20T23:00:00.000,2025-12-21T12:00:00.000,"Laura van Hal, Marsch, Ponygirl, Yant, Hett, jiyun kim",Tresor / Globus,,,,/events/2294832,51
les moches in Rausch und Rage,2025-12-20T00:00:00.000,2025-12-20T22:00:00.000,2025-12-21T06:00:00.000,"Emel White, hannahconda, Silvi Knallt",TBA,,52.4993694,13.3496349,/events/2320895,37
Italian Dance Wave,2025-12-20T00:00:00.000,2025-12-20T22:00:00.000,2025-12-21T06:00:00.000,"Arvin T, Hara Katsiki, Franz Scala, Rena Volvo",arkaoda Berlin,,52.4738852,13.4425685,/events/2312918,39
SOUL OUT BATTLE 6,2025-12-20T00:00:00.000,2025-12-20T16:30:00.000,2025-12-21T00:00:00.000,"Fangarm, Vū, Mina Lord, Korrhex",Otto (Container Village at Haus der Statistik),,,,/events/2315428,34
"Bird House 3 Year Anniversary w/ Aalia, DJ CHICHI, Darwin Stapel & Jaymie Silk",2025-12-20T00:00:00.000,2025-12-20T22:00:00.000,2025-12-21T06:00:00.000,"Aalia Iraki, Darwin Stapel, DJ CHICHI, Lea Czychy, Jaymie Silk, Moehecan",Crack Bellmer,,52.5075865,13.4547707,/events/2291250,34
Arabic House Night - Mad Series x Ghoufi,2025-12-20T00:00:00.000,2025-12-20T22:00:00.000,2025-12-21T04:00:00.000,,Metropol,,52.4989399,13.3527048,/events/2312367,29
version,2025-12-20T00:00:00.000,2025-12-20T22:00:00.000,2025-12-21T06:00:00.000,"DJ Flounce, Hops, FoxMind, Orson, Skratch",OHM,,52.5105954,13.4197888,/events/2312702,31
A Sick X-Mess Tale 2,2025-12-20T00:00:00.000,2025-12-20T22:00:00.000,2025-12-21T09:00:00.000,"Dave Skywalker, DJ Desires, IFFYHYPE, Lil Kevo 303, VVET.",Humboldthain Club,,52.5441625,13.3787124,/events/2317311,29
Confusion is Next to Happiness,2025-12-20T00:00:00.000,2025-12-20T22:30:00.000,2025-12-21T08:00:00.000,"Nosedrip, Internet Offline, Kinzua",Sameheads,,52.4778422,13.4394686,/events/2301657,29
