title,date,time,address,description,url,lat,lon
Balat ꟾ Charlotte Schmitz,11.11.2025,10:00 Uhr,"Fotografiska Berlin – Das zeitgenössische Museum für Fotografie, Kunst und Kultur","Mit Balat, zu sehen vom 11. November 2025 bis zum 19. Januar 2026 im Fotografiska Berlin im Rahmen des Talentprogramms Emerging Berlin, lädt die Fotografin Charlotte Schmitz die Besucher ein, in das Leben des historischen Stadtteils Balat in Istanbul…",https://www.visitberlin.de/de/event/balat-charlotte-schmitz,52.5257323,13.3889157
Bistro Lebenswelten - BBQ-Events im Schlüterhof,20.12.2025,10:00 Uhr,Humboldt Forum: Schlüterhof,"Rauchige Aromen, und kalte Drinks in einzigartigem Ambiente. Das BBQ-Event im Bistro Lebenswelten auf der großzügigen sonnigen Terrasse im Schlüterhof – direkt im Humboldt Forum!",https://www.visitberlin.de/de/event/bistro-lebenswelten-bbq-events-im-schlueterhof,52.5172152,13.4007352
BUBBLE PLANET,12.12.2025,10:00 Uhr,Arena Berlin,Bubble Planet ist weit mehr als eine Ausstellung – es ist ein farbenfrohes Paralleluniversum. Das international gefeierte Spektakel kommt im Dezember 2025 erstmals nach Berlin.,https://www.visitberlin.de/de/event/bubble-planet,52.5063687,13.4437652
Café-Bistro Alexander. Frische. Qualität und Vielfalt im Humboldt Forum in Berlin,27.12.2025,10:00 Uhr,Humboldt Forum: Schlüterhof,"Im Café-Bistro Alexander erwartet Sie eine Auswahl an frischen Backwaren, Frühstücksangeboten sowie warmen und kalten Lunch-Gerichten – inszeniert in einer hellen, modernen Umgebung, die zum Verweilen einlädt.",https://www.visitberlin.de/de/event/cafe-bistro-alexander-frische-qualitaet-und-vielfalt-im-humboldt-forum-berlin,52.5172152,13.4007352
Claude Lanz­mann. Die Auf­zeichnungen,27.11.2025,10:00 Uhr,Jüdisches Museum Berlin,"Die Ausstellung ""Claude Lanzmann. Die Aufzeichnungen"" würdigt das Werk des bedeutenden Dokumentarfilmers Claude Lanzmann und gewährt Einblicke in das erstmals präsentierte Audio-Archiv seines Films Shoah – ein einzigartiges Zeitdokument, das seit 2023 zum…",https://www.visitberlin.de/de/event/claude-lanz-mann-die-auf-zeichnungen,52.5022467,13.3951467
Comic-Stipendium Berlin 2025,05.07.2025,10:00 Uhr,Museum für Kommunikation,Die Gewinner:innen des Comic-Stipendiums Berlin 2025 zeigen ihre inspirierende Werkschau mit Einblicken in die vielfältige Welt der Berliner Comic-Kunstszene vom 5. Juli 2025 bis 11. Januar 2026 im Museum für Kommunikation Berlin.,https://www.visitberlin.de/de/event/comic-stipendium-berlin-2025,52.5099308,13.3872552
Diana Markosian ꟾ Father,21.11.2025,10:00 Uhr,"Fotografiska Berlin – Das zeitgenössische Museum für Fotografie, Kunst und Kultur","Father, zu sehen vom 21. November 2025 bis zum 19. April 2026 im Fotografiska Berlin, ist eine sehr persönliche und autobiografische Ausstellung der Künstlerin Diana Markosian. Sie beschäftigt sich mit Themen wie Abwesenheit, Erinnerung und Versöhnung und…",https://www.visitberlin.de/de/event/diana-markosian-father,52.5257323,13.3889157
Diane Arbus: Konstellationen,16.10.2025,12:00 Uhr,Gropius-Bau,"Diane Arbus gilt als eine der visionärsten und einflussreichsten Künstlerinnen des 20. Jahrhunderts, die mit ihren ausdrucksstarken Schwarz-Weiß-Fotografien ästhetische Konventionen radikal infrage gestellt hat.",https://www.visitberlin.de/de/event/diane-arbus-konstellationen,52.5066209,13.3819472
Die lebende Stadt. Ein fotografisches Spiel der Begegnungen,06.03.2025,10:00 Uhr,Deutsches Technikmuseum,Mit der Foto-Ausstellung „Die lebende Stadt. Ein fotografisches Spiel der Begegnungen“ beteiligt sich das Deutsche Technikmuseum ab dem 6. März am diesjährigen European Month of Photography Berlin (EMOP).,https://www.visitberlin.de/de/event/die-lebende-stadt-ein-fotografisches-spiel-der-begegnungen,52.4971811,13.3759289
Hommage an Vittore Carpaccio,20.11.2025,10:00 Uhr,Gemäldegalerie,"Die „Grabbereitung Christi“ ist eines von zwei großformatigen Meisterwerken von Vittore Carpaccio (um 1465–1525/26), mit denen der venezianische Künstler in der Gemäldegalerie hervorragend repräsentiert ist. In den letzten Jahren wurde die „Grabbereitung“…",https://www.visitberlin.de/de/event/hommage-vittore-carpaccio,52.5085133,13.3647492
