title,category,venue,address,date,url,lat,lon
Kurzfilmtag - Kino im Museum,Sonstiges,Georg Kolbe Museum,"Sensburger Allee 25, 14055 Berlin",Sa. 20.12,https://www.tip-berlin.de/event/sonstiges/1465.10038432/,52.509937,13.2549022
DT Jung*: Parzival,Bühne/Schauspiel,Deutsches Theater Kammerspiele,"Schumannstr. 13a, 10117 Berlin",Sa. 20.12,https://www.tip-berlin.de/event/buehne+schauspiel/1465.10098777/,52.5243546,13.3819066
"Extra aus Dresden angereist: 01099, support Aaron",Musik/Konzert,Max-Schmeling-Halle,"Am Falkplatz 1, 10437 Berlin",Sa. 20.12,https://www.tip-berlin.de/event/musik+konzert/1465.2853790386/,52.545836,13.4061087
In Ecclesia: Corvus Corax,Musik/Konzert,Passionskirche,"Marheinekeplatz 1-2, 10961 Berlin",Sa. 20.12,https://www.tip-berlin.de/event/musik+konzert/1465.2855837417/,52.4891497,13.3943454
Letzter Tag: Arbeiten aus 5 Jahrzehnten,Ausstellung/Galerien,Mountains,"Rosa-Luxemburg-Pl., 10178 Berlin",Sa. 20.12,https://www.tip-berlin.de/event/ausstellung+galerien/1465.2857485993/,52.5276951,13.4104868
Tasty Vintage Fleamarket,Handel/Markt,Kalle Halle,"Karl-Marx-Str. 101, 12043 Berlin",Sa. 20.12,https://www.tip-berlin.de/event/handel+markt/1465.2861885962/,52.4795713,13.437379
Untold Stories – Silent Rocco,Bühne/Kabarett,Pfefferberg Theater,"Schönhauser Allee 176, 10119 Berlin",Sa. 20.12,https://www.tip-berlin.de/event/buehne+kabarett/1465.10095251/,52.531982,13.4117657
Umwelt- und Weihnachtsmarkt in der Sophienstraße,Handel/Markt,Sophienkirche Mitte,"Große Hamburger Str. 31, 10115 Berlin",Sa. 20.12,https://www.tip-berlin.de/event/handel+markt/1465.2356536240/,52.5255879,13.3990178
Christmas Garden,Handel/Markt,Botanischer Garten Berlin,"Königin-Luise-Str. 6-8, 14195 Berlin",Sa. 20.12,https://www.tip-berlin.de/event/handel+markt/1465.2852511439/,52.4582459,13.3048516
Questhaus Ost: BroKolya und guests,Bühne/Kabarett,Ballhaus Ost,"Pappelallee 15, 10437 Berlin",Sa. 20.12,https://www.tip-berlin.de/event/buehne+kabarett/1465.2858056722/,52.5430767,13.4149784
