title,url,address,description,detailed_date,lat,lon
Jazz4free@ZoscH   :::   Jazzformation Just Friends,https://www.gratis-in-berlin.de/heute/item/2012698-jazz4free,Tucholskystrasse  30 10117  Berlin,,"Donnerstag 08.01.2026									  
											 - Anfangszeit: 20:00 Uhr",52.5260821,13.3936122
"Feldliebe (Film) – Eine Liebe, die ewig hält: Das Tempelhofer Feld im Sputnik Kino",https://www.gratis-in-berlin.de/heute/item/2075635-feldliebe-eine-liebe-die-ewig-haelt-das-tempelhofer-feld,Hasenheide 54 10967 Berlin,,"Donnerstag 08.01.2026									  
											 - Anfangszeit: 18:30 Uhr",52.4894941,13.4100369
"Pop-Up-Kino | Wir zeigen ""Barbie""",https://www.gratis-in-berlin.de/heute/item/2076360-popup-kino-wir-zeigen-barbie,Blücherplatz 1 10961  Berlin,,"Donnerstag 08.01.2026									  
											 - Anfangszeit: 17:00 Uhr",52.4965672,13.3924936
DJ-Tag @ Peppi Guggenheim: Bohemiens at work,https://www.gratis-in-berlin.de/heute/item/2069691-dj-tag-peppi-guggenheim-bohemiens-at-work,Weichselstrasse 7 7 12043 Berlin,,"Donnerstag 08.01.2026									  
											 - Anfangszeit: 21:00 Uhr",52.4842354,13.4329158
Spätschicht x Schwules Museum,https://www.gratis-in-berlin.de/heute/item/2076462-spaetschicht-x-schwules-museum,Niederkirchnerstraße 7 10117 Berlin,,"Donnerstag 08.01.2026									  
											 - Anfangszeit: 19:00 Uhr",52.5066209,13.3819472
Kleidertauschparty in der Bezirkszentralbibliothek Tempelhof,https://www.gratis-in-berlin.de/heute/item/2058165-kleidertauschparty-fuer-herbst-und-winterkleidung,Götzstraße 8/10/12 12099 Berlin,,"Donnerstag 08.01.2026									  
											 - Anfangszeit: 16:00 Uhr",52.4619672,13.3951179
Studio 9. Der Tag mit mit Katja Gloger und Georg Mascolo. Deutschlandfunk Kultur – live aus dem Humboldt Forum,https://www.gratis-in-berlin.de/heute/item/2076346-studio-9-der-tag-mit-mit-katja-gloger-und-georg-mascolo-deutschlandfunk-kultur-live-aus-dem-humboldt-forum,"Humboldt Forum, Schloßplatz 10178 Berlin",,"Donnerstag 08.01.2026									  
											 - Anfangszeit: 11:50 Uhr",52.5172152,13.4007352
Deutscher Improv Comedy Jam (Neukölln 21:30),https://www.gratis-in-berlin.de/heute/item/2071064-deutscher-improv-comedy-jam,Roseggerstraße  17 12059  Berlin,,"Donnerstag 08.01.2026									  
											 - Anfangszeit: 21:30 Uhr",52.4800393,13.446715
Open Lab Abend: 3D-Drucker — Future Tools Series,https://www.gratis-in-berlin.de/heute/item/2076316-open-lab-abend-3d-drucker-future-tools-series,Alexanderufer  2 10117 Berlin,,"Donnerstag 08.01.2026									  
											 - Anfangszeit: 17:00 Uhr",52.5239123,13.3743249
Felix Mendelssohn Bartholdy Hochschulwettbewerb Fach Blasinstrumente  - 1. Wertungsrunde,https://www.gratis-in-berlin.de/heute/item/2074760-felix-mendelssohn-bartholdy-hochschulwettbewerb-1-wertungsrunde,Joseph,,Mittwoch 07.01.2026 bis Donnerstag 08.01.2026									   - Anfangszeit: 10:00 Uhr,45.3519627,-117.2311073
Leo Lights: Weihnachtsbeleuchtung am Leopoldplatz,https://www.gratis-in-berlin.de/heute/item/2076328-leo-lights-weihnachtsbeleuchtung-am-leopoldplatz,Leopoldplatz 13353 Berlin,,Sonntag 30.11.2025 bis Freitag 09.01.2026									   - Anfangszeit: 16:00 Uhr,52.5463833,13.3591672
Ausstellung: Jari Järnström – FLUX: gemälde/paintings,https://www.gratis-in-berlin.de/heute/item/2076497-vernissage-19-00-21-00-uhr-jari-jaernstroem-flux-gemaelde-paintings,Eugen,,Dienstag 06.01.2026 bis Samstag 17.01.2026									   - Anfangszeit: :00 Uhr,8.7527567,167.6829612
"Vera Mercer - Life in Focus ZAK Spandau Fr-Mi 10-17, Do 13-20 Uhr",https://www.gratis-in-berlin.de/heute/item/2074744-vera-mercer-life-in-focus-zak-spandau-fr-mi-10-17-do-13-20-uhr,Am Juliusturm  64 13599 Berlin,,Freitag 19.09.2025 bis Sonntag 11.01.2026									   - Anfangszeit: 19:00 Uhr,52.5410344,13.2127443
"Rodeln, Schlittenfahren, Snowboarden in Berlin (z.B. Hasenheide, Teufelsberg, Insulaner, Hahneberg, Fischtalpark, Viktoriapark, Rodelberg, Mauerpark, Volkspark)",https://www.gratis-in-berlin.de/heute/item/2001218-rodeln-schlittenfahren-snowboarden-in-berlin-z-b-hasenheide-teufelsberg-insulaner-hahneberg-fischtalpark-viktoriapark-rodelberg-mauerpark-volkspark,Berlin Germany,,Sonntag 04.01.2026 bis Sonntag 11.01.2026									   - Anfangszeit: :00 Uhr,52.5173885,13.3951309
Sinan Dur - Zwischen Moment und Augenblick // Malerei (Mo-Fr 10.00-18.00 Uhr),https://www.gratis-in-berlin.de/heute/item/2076078-sinan-dur-zwischen-moment-und-augenblick-malerei,Koloniestraße 120 13359 Berlin,,Freitag 28.11.2025 bis Freitag 09.01.2026									   - Anfangszeit: :10 Uhr,52.5600538,13.3796208
