Event name,Date,Start Time,End Time,Artists,Venue,Venue Address,Venue Latitude,Venue Longitude,Event URL,Number of guests attending
DAY 2 - TIME TRAVEL HEAR TODAY (the lover),2026-01-08T00:00:00.000,2026-01-08T20:30:00.000,2026-01-08T22:30:00.000,"Moor Mother, Aquiles Navarro",Neue Nationalgalerie,,52.5070409,13.3676212,/events/2311972,263
(5€) Savory - Techno Every Thursday,2026-01-08T00:00:00.000,2026-01-08T23:00:00.000,2026-01-09T06:00:00.000,"DJ Fucks Himself, Esterne Moog, TMS (Dj), ZentaSkai",OST,,52.4970681,13.4650321,/events/2327829,59
OTIUM X SLIME,2026-01-08T00:00:00.000,2026-01-08T22:00:00.000,2026-01-09T05:00:00.000,"DJ SUN (CH/DE), BENZA, EMIRA, TAUREAN (2), MEGUROLOVE, SIMOFF",Crack Bellmer,,52.5075865,13.4547707,/events/2317097,51
"Simbiosis x Nocturna Showcase (Free Entry): Nico Noir, Culo Sucio b2b Juan Diego Drouet, Tup",2026-01-08T00:00:00.000,2026-01-08T23:00:00.000,2026-01-09T04:00:00.000,"Nico Noir, Culo Sucio, Juan Diego Drouet",Bulbul Berlin,,52.4993312,13.4242521,/events/2331680,43
"PURE-E W/ Quadrakey, Do you know Juno",2026-01-08T00:00:00.000,2026-01-08T19:00:00.000,2026-01-09T00:00:00.000,"Quadrakey, Do you know Juno, Fineberg",Marmorbar,,,,/events/2331197,32
PSYCHO Freak,2026-01-08T00:00:00.000,2026-01-08T22:00:00.000,2026-01-09T06:00:00.000,,KitKatClub,,52.5112074,13.4169157,/events/2335150,29
Tausend ELECTRONICA - Jens Schwan b2b SIMON BERLIN,2026-01-08T00:00:00.000,2026-01-08T22:00:00.000,2026-01-09T03:00:00.000,Jens Schwan,Tausend,,52.4648029,13.5107514,/events/2337890,26
THE UNKNOWN (𝘍𝘙𝘌𝘌 𝘌𝘕𝘛𝘙𝘠 𝘜𝘕𝘛𝘐𝘓 22:00 ⟶ 𝘋𝘖𝘕𝘈𝘛𝘐𝘖𝘕-𝘉𝘈𝘚𝘌𝘋 𝘈𝘍𝘛𝘌𝘙),2026-01-08T00:00:00.000,2026-01-08T19:00:00.000,2026-01-09T02:00:00.000,"kejtizuki, 1_l_2_p",Zu Mir Oder Zu Dir,,52.5419558,13.4153603,/events/2329444,24
Thursday Breakdown - Bass Music DJ Session,2026-01-08T00:00:00.000,2026-01-08T20:00:00.000,2026-01-09T01:30:00.000,"Babe Gorgeous, BarbNerdy, Jesh",Lauschangriff,,52.5182491,13.4553049,/events/2332807,25
"hub presents Rat Section, SÒN DU MAQUÍS, WORKID",2026-01-08T00:00:00.000,2026-01-08T20:00:00.000,2026-01-08T23:00:00.000,Rat Section,Roter Salon,,52.5271131,13.4116224,/events/2327026,13
electronic.thursday mit Semodi,2026-01-08T00:00:00.000,2026-01-08T18:00:00.000,2026-01-09T04:00:00.000,Semodi,Minimal Bar,,52.5164827,13.4639097,/events/2313165,12
Naked Grapes with rines,2026-01-08T00:00:00.000,2026-01-08T20:30:00.000,2026-01-08T23:30:00.000,rines,Orangerie Neukölln,,52.4708958,13.4368213,/events/2330017,8
STRAFF / Thursday Techno / 5€ until 1 AM with RA Ticket,2026-01-08T00:00:00.000,2026-01-08T23:00:00.000,2026-01-09T08:00:00.000,"Bisk, BioTec -official-, Fabian Fischbach",Der Weiße Hase,,52.5075831,13.4545322,/events/2338067,12
Família,2026-01-08T00:00:00.000,2026-01-08T19:30:00.000,2026-01-08T23:30:00.000,Gojas,Wilder als Erwartet,,,,/events/2333293,6
Chantal's House of Shame,2026-01-08T00:00:00.000,2026-01-08T23:00:00.000,2026-01-09T06:00:00.000,,Lokschuppen Berlin,,52.5071699,13.4510769,/events/2338436,7
Hidden Variables,2026-01-08T00:00:00.000,2026-01-08T23:59:00.000,2026-01-09T12:00:00.000,"Parachute P, Vinny Villbass, Yannick Robyns",Golden Gate,,52.5159611,13.4169199,/events/2331844,5
Dj Thursdays with Dj M Love,2026-01-08T00:00:00.000,2026-01-08T21:00:00.000,2026-01-09T01:00:00.000,,Madame Claude,,52.4996096,13.4374056,/events/2325962,3
Sssmile Afterhour,2026-01-08T00:00:00.000,2026-01-08T06:00:00.000,2026-01-08T13:00:00.000,,Prisma,,52.5558768,13.5584086,/events/2331048,1
Sky-Bar Warmup - House & Downbeat,2026-01-08T00:00:00.000,2026-01-08T20:00:00.000,2026-01-09T01:00:00.000,,Solar,,52.5043141,13.3836872,/events/2339624,0
