Event name,Date,Start Time,End Time,Artists,Venue,Venue Address,Venue Latitude,Venue Longitude,Event URL,Number of guests attending
BCCO x Polyamor 46 Hours,2025-12-30T00:00:00.000,2025-12-30T22:00:00.000,2026-01-02T08:00:00.000,"Somewhen, future.666, AEREA, ÜBERKIKZ, davyboi, DJ Hyperdrive, PRADA2000, Fenrick, Trancemaster Krause, Mika Heggemann, Cleopard2000, PETERBLUE, t e s t p r e s s, Cara Elizabeth, Luxi Villar, DJ Cringey, TOXIMAMI, Justin Tinderdate, Elotrance, KIM SWIM, FILTRACK, LO-2C, MOONCHILD (DE), Alex Friday, Dr. G, DJ SKIN, Filialleiter, MADMAN (2), NYRA (DE), CRAIZ, Sicion, Maris Shilton, MZR, Viktoria Spielmann",ZENNER,,52.4873221,13.4774679,/events/2153559,5236
"It's not over! Renate NYE: 86H w  Ben Sims, Lewis Fautzi, Felicie, Stephanie Sykes, Beau Didier",2025-12-31T00:00:00.000,2025-12-31T22:00:00.000,2026-01-04T10:00:00.000,"Ady Toledano, Alex Knapp, Amy Dabbs, Anna Schreit, ATZENPUNK, Beau Didier, Ben Sims, BENZA, Beryll, Bonnie Ford, Burnhard, BUTZ, Moritz Biebl, Camilla Rae, Crille & Tamalt, CSILLA, Daniela Cast, Delano Legito, Delfonic, Diego Krause, DIKKA, Dj handbag, Eliza, Fast (DE), unDs, FELGENTEUFEL666, Félicie, Freigeist, Npoint_O, Frozilla, G.oss, goldie (2), Ida Daugaard, Jana Falcon, Johannes Albert, Josh Reid, Juan Ramos, K49 (GER), Mefteh, Kevin STN, KLEA, Kobzev, Leon Licht, Lewis Fautzi, LüHR, Lukr Range, Marina George, Martin Dacar, MASCHA, Meda-Ava, Minimal Listig, Mislaw, Moteris, Mountak, Mython, Nadine Hennig, NASTYA NVRSLP, Niemand & Keiner, Nikita T, Rafush, Offtrack, Okain, Punani, Red Pig Flower, Remain, RifRaf, ROEGLIN, Rosa Kante, Ryan James Ford, S Ruston, Sept, sleeptwitch, Snooks, Some Chemistry, Stephanie Sykes, súz (DE), TAUREAN (2), TheLoopmasters, DJ Speed, DJ Frequency, Triqi, Immy, UN/POLISHED, Vio PRG",Renate,,52.4973901,13.4653065,/events/2265732,3952
"HIVE NYE 2026 - Lee Ann Roberts, Charlie Sparks, Nicolas Julian, Hades  more",2025-12-30T00:00:00.000,2025-12-30T22:00:00.000,2026-01-02T08:00:00.000,"3LEEZA, AnD, Carla Schmitt, Charlie Sparks, HANÀ, Hurts, KARISH, MATRAKK, Zeltak, 2HOT2PLAY, B2 (1), Ben Derris, Bollmann, DETOXX, DJ Achim Feuervogel, djvonnebenan, Doruksen, Femme Fatale, GIØ (1), Human Error, IGDA, In Verruf, Levt, Linus Villa, L.zwo, NEGITIV, NIA (3), Niotech, NOTMYTYPE (2), O.B.I. (DE), Paul Meier, Trancestrudel, Joey (2), Alex Friday, Hades, IOSIO, Johannes Schuster, Lee Ann Roberts, Nicolas Julian, THISO, two girls one mom, VAENT",DSTRKT (former Anomalie),,,,/events/2256112,3627
Power Dance Club NYD 2026 / More tickets at the door,2026-01-01T00:00:00.000,2026-01-01T12:00:00.000,2026-01-02T14:00:00.000,"Byron Yeates, Carly Zeng, CEM, Chris Cruse, Cromby, DHC, Hyperaktivist, Kiddy Smile, Luigi Di Venere, Stathis (GR), Liad Krispin, Majdolen, Maria Politi, Massimiliano Pagliara, MCMLXXXV, Richii, Running Hot, Skankstasy, Tam Tam, Temple Rat",KREUZWERK,,52.5030057,13.407825,/events/2283868,3612
𝖦𝖤𝖦𝖤𝖭 • 𝖯𝖱𝖭𝖢𝖯𝖳𝖫 • 𝖱𝖲𝖮 𝟥𝟥𝖧,2025-12-31T00:00:00.000,2025-12-31T23:59:00.000,2026-01-02T10:00:00.000,"131bpm, ADAM MUNNINGS, Akua, Tasha, AMORAL, BOYCA, CRYME, Perra Inmunda, Dasha Rush, Doppelgang, Elli Acula, ENGALANAN, fka.m4a, I. JORDAN, Jensen Interceptor, KEMIK, 2THEMAX, Khloe, LOVEFOXY, Mar/us, MARRØN, Natalie Robinson, Katy De Jesus, Rakans, Samantha Togni, softchaos, Spacer Woman, Sparkly Pony, VINVAR",RSO.BERLIN,,52.459911,13.5053346,/events/2236930,3054
Primal Instinct NYE 30H Party,2025-12-31T00:00:00.000,2025-12-31T23:00:00.000,2026-01-02T06:00:00.000,"Amaliah, BLANKA, DJ Pete, Chlär, Cirkle, Danya (DE), DJ AYA, DJ Frequency, DJ SUN (CH/DE), Funk Assault, Alarico, Hadone, Ian Pooley, TAFKAMP, Jesse G, Paàl, Josh Caffé, Kaiser (K S R), Phil Berg, Naomi (DE), Pablo Bozzi, Rødig, Steffi, The Lady Machine, The Chronics, VIL (PT), Volpe, Vera Grace",Haus der Visionäre,,,,/events/2274553,3063
HEISSS x HOME AGAIN I NYE 30H I MUENZE Club + Prägehalle,2025-12-31T00:00:00.000,2025-12-31T22:00:00.000,2026-01-02T06:00:00.000,"Alarico, Andra (DE), Blame Anthony, Daisy Weweh, Daria Kolosova, Disguised, DJ Butterhands, DJ Gigola, dj sweet6teen, DJ TOOL, Duncan Thomas, Egotot, Escape on Tape, Supergloss, Omon Breaker, FJAAK, Gabber Eleganza, hawi, Jennifer Loveless, Lacchesi, Marina George, Maruwa, MCR-T, Meggy, Nat Wendell, Nene H, Sally C, SALOME, Thabo, Thalo Santana",MUENZE,,52.5727546,13.3303222,/events/2221211,2904
ALLES WIRD GUT - New Ear Festival (MaHalla & Bachstelzen),2025-12-31T00:00:00.000,2025-12-31T22:00:00.000,2026-01-02T10:00:00.000,"Martha van Straaten, Mimi Love, Sven Dohse, Tobi Neumann, Barbara Preisinger, Dorian Paic, Foehn & Jerome, Volkan Akin, Stanislav Tolkachev, Anja Zaube, Irakli, Caleb ESC, Modschi, Eduardo de la Calle, Rachel Noon, Turmspringer, Sebastian Voigt, David Fogarty, Temple Rat, TPR (DE), Eluzid, GLIA, Molly Lollen, John Fick, The Jakob Sister, RaverPik, Sabu!, Panivino, Chris Schwarzwälder, Lars Eidinger, Dave Dinger, jorke, wannadosomething?, Jana Falcon, KIRSCH, DJ Jauche, Cleymoore",MaHalla,,52.4594502,13.5236581,/events/2312261,1508
OXI NYE - 38 hours ,2025-12-31T00:00:00.000,2025-12-31T22:00:00.000,2026-01-02T12:00:00.000,"Alada, Amor Satyr, Blasha & Allatt, Call Super, CEM, JASSS, Courtesy, Cybersex, DjRUM, HEDDA, Luca Eck, Meg10, Michael Lane, Malte Süß, Nycky Estrella, OLHA, RÆZA, River Moon, soraya (DE), Schacke, SOCIAL VLAD, TOCCORORO, Sub Sahara, Yazzus, DJ TOOL",OXI,,52.5076121,13.4749435,/events/2235395,1385
Forever 25 - NYE Edition,2025-12-31T00:00:00.000,2025-12-31T22:00:00.000,2026-01-04T10:00:00.000,"BODYSHIFT, Britta Arnold, Caleesi, Sarah Kreis, Esther Silex, Felix Dickinson, Ipek Ipekcioglu, Just Emma, KALEA, Mira, Raxon, SHA (DE), Thomas Schumacher, 2 Girls 1 Club, Audio Werner, Balthazar Martinez, Borella, Carina Posse, ELIZEN THE EMPEROR, Foehn & Jerome, Franca, Harry Nipples, Hazy Pockets, Ida Daugaard, Josiane, Kon Faber, Melanie Havens, Peter Schumann, Phonk D, RSS Disco, Rudolf C, Shira Kela, Snow (DE), Soundstream, Steve Challier, Tereza, Tomoki Tamura, Hannie Phi, Jennifer Touch, Kasper Bjorke, Panthera Krause, Bruder Jakob, Foolik, Shimon (3), B.A.O., BreakLD, RF (1), miAs, Mira Vána, Emme Moises, Punani, Daniel Dreier, Farry",Kater,,52.5119029,13.4253649,/events/2293506,1206
KINKY NEW YEAR AT KITKAT CLUB,2026-01-01T00:00:00.000,2026-01-01T20:00:00.000,2026-01-02T09:00:00.000,"PHLOXO, DJ Henk, MSKD, Limoncello, alemiko, Foxy Roxy",KitKatClub,,52.5112074,13.4169157,/events/2228861,605
BLANK WASHING (NYE),2025-12-31T00:00:00.000,2025-12-31T23:00:00.000,2026-01-02T06:00:00.000,"Joel Mull, The Muffin Man, karete bu, André Dancekowski, Alex.Do, Rill, s-ray, :MUMM, CIKO, CHOREOPHILA, Hang Aoki, Hypnotic Black Magic, Bconscious, Jessamine, Sohrab, Lena Brumby, Rodmin, RYBA, Mankind, THNTS, G4F4RØU, DJ-Ween, Marcel Koar, Multifun, K1KO",://about blank,,52.5024767,13.466302,/events/2267695,555
Wer kommt der kommt ... (NYE 1AM - 2ND JAN 9AM),2026-01-01T00:00:00.000,2026-01-01T23:00:00.000,2026-01-02T09:00:00.000,"Andreas Rauscher, Annina, Bonnie Ford, Coco, Daniel Kirchner, eliXenia, Empro, Flo Pirke, Leon Licht, Moms on Acid, Rhom Omit, Rosa Kante",Hoppetosse,,52.5178179,13.2025647,/events/2293621,373
Silvester Klubnacht,2026-01-01T00:00:00.000,2026-01-01T01:00:00.000,2026-01-02T12:00:00.000,"Beste Hira, Jelena, Juri Heidemann, Kwartz, LOLSNAKE, OPH, Phara, Philippa Pacho, Red Rooms, Temudo, André Galluzzi, Bennet (DE), Rifts, John Talabot, Lea Occhi, Ogazón, Tom Peters, Vera, Yen Sung, Bell Towers, Budino, Curses, DJ Subaru, Kidcat, Sound Metaphors Djs, The Hacker",Berghain | Panorama Bar | Säule,,,,/events/2297140,344
Tresor: New Year's Day 2026,2026-01-01T00:00:00.000,2026-01-01T23:00:00.000,2026-01-02T11:00:00.000,"Benabou, Ireen Amnes, Chloe Lula, MAEDON, WINDFUHR, Dj handbag",Tresor / Globus,,,,/events/2294290,180
Transzendenz 25 * 26,2025-12-31T00:00:00.000,2025-12-31T23:59:00.000,2026-01-04T18:00:00.000,"Anderson (US), Annina, Babxi, BB Deng, CAMILLA, Christian Kowalski, Click | Click, Danielle Nicole, Daniel Steinberg, DJ Life, Daya, Edgar Peng, EllA, Emski, Jan, Farry, Koljah, Lucas Aurel, magic.made.by.r, NAMIMI SENSEI, Neco, Nils Ohrmann, Okain, Red Pig Flower, RifRaf",Golden Gate,,52.5159611,13.4169199,/events/2308271,58
THE UNKNOWN (𝘍𝘙𝘌𝘌 𝘌𝘕𝘛𝘙𝘠 𝘜𝘕𝘛𝘐𝘓 22:00 ⟶ 𝘋𝘖𝘕𝘈𝘛𝘐𝘖𝘕-𝘉𝘈𝘚𝘌𝘋 𝘈𝘍𝘛𝘌𝘙),2026-01-01T00:00:00.000,2026-01-01T19:00:00.000,2026-01-02T02:00:00.000,Coco Prosecco,Zu Mir Oder Zu Dir,,52.5419558,13.4153603,/events/2329442,58
PSYCLE,2026-01-01T00:00:00.000,2026-01-01T10:00:00.000,2026-01-01T21:00:00.000,"AWHM, SLYM, AYIM, Ana Malo, Sioc, szoliver",Blue Velvet,,,,/events/2310823,52
(5€) Savory - Techno Every Thursday,2026-01-01T00:00:00.000,2026-01-01T23:00:00.000,2026-01-02T06:00:00.000,"August Kind, Hanne B, mølly (on molly), WAN.1, FORTUNATA",OST,,52.4970681,13.4650321,/events/2304811,51
N A C H S P I E L (NYE-SPECIAL),2026-01-01T00:00:00.000,2026-01-01T08:00:00.000,2026-01-01T20:00:00.000,,KitKatClub,,52.5112074,13.4169157,/events/2320819,47
U10247: New year's rave (feat maniac&me and Roy Manzur),2026-01-01T00:00:00.000,2026-01-01T18:00:00.000,2026-01-02T06:00:00.000,maniac&me,Minimal Bar,,52.5164827,13.4639097,/events/2311776,31
Listen Listen Loft Series – 24 Hours NYE Edition,2025-12-31T00:00:00.000,2025-12-31T22:00:00.000,2026-01-01T22:00:00.000,"Alexander Arpeggio, Aki Aki, Osterinsel, Wilted Woman, André Pahl, Philipp Otterbach",Loft 6,,,,/events/2314837,17
Detour Club & Friends on New Year's Day,2026-01-01T00:00:00.000,2026-01-01T16:00:00.000,2026-01-02T04:00:00.000,"Emilia Callari, Fo Ewa, Gabricoti, Just Dust, OK Jones",Crack Bellmer,,52.5075865,13.4547707,/events/2329984,11
