title,url,address,description,detailed_date,lat,lon
Neujahrslauf vom Brandenburger Tor zum Dom und zurück,https://www.gratis-in-berlin.de/heute/item/2024219-neujahrslauf-vom-brandenburger-tor-zum-dom-und-zurueck,Berlin Germany,,"Donnerstag 01.01.2026									  
											 - Anfangszeit: 12:00 Uhr",52.5173885,13.3951309
Weihnachtsmarkt am Humboldt Forum & Wintermarkt (außer 24.12.) mit Laser-Shows Di & Do,https://www.gratis-in-berlin.de/heute/item/2070628-weihnachtsmarkt-am-humboldt-forum-wintermarkt-ausser-24-12-mit-laser-shows-di-do,Schlossplatz 10178 Berlin,,Montag 24.11.2025 bis Donnerstag 01.01.2026									   - Anfangszeit: 11:00 Uhr,52.516714,13.4031305
Holy Eschschloraque (täglich außer 22. & 23.12.),https://www.gratis-in-berlin.de/heute/item/2076283-holy-eschschloraque-taeglich-ausser-22-23-12,Rosenthaler Str. 39 10178 Berlin,,Mittwoch 24.12.2025 bis Donnerstag 01.01.2026									   - Anfangszeit: :00 Uhr,52.5244928,13.4019195
Silvesterkonzerte und Neujahrskonzerte,https://www.gratis-in-berlin.de/heute/item/2024015-silvesterkonzerte-und-neujahrskonzerte,Berlin Germany,,Mittwoch 31.12.2025 bis Donnerstag 01.01.2026									   - Anfangszeit: :00 Uhr,52.5173885,13.3951309
Art for all in Neuer Nationalgalerie,https://www.gratis-in-berlin.de/heute/item/2070548-art-for-all-in-neuer-nationalgalerie,Potsdamer Str. 50 10785  Berlin,,"Donnerstag 01.01.2026									  
											 - Anfangszeit: 14:00 Uhr",52.5066158,13.3671577
"Neujahr: Events, Veranstaltungen, Tips",https://www.gratis-in-berlin.de/heute/item/2024649-neujahr-events-veranstaltungen-tips,Berlin Germany,,"Donnerstag 01.01.2026									  
											 - Anfangszeit: :00 Uhr",52.5173885,13.3951309
"""Schreibspace"" - im RegenbogenCafé",https://www.gratis-in-berlin.de/heute/item/2076297-schreibspace-im-regenbogencafe,Lausitzer Straße 22 10999 Berlin,,"Donnerstag 01.01.2026									  
											 - Anfangszeit: 16:00 Uhr",52.4957041,13.4268885
Weihnachtsmarkt am Kadewe Wittenbergplatz (täglich),https://www.gratis-in-berlin.de/heute/item/2075545-weihnachtsmarkt-am-kadewe-wittenbergplatz-taeglich,Berlin,,Montag 24.11.2025 bis Donnerstag 01.01.2026									   - Anfangszeit: 11:00 Uhr,52.5173885,13.3951309
Panik? Einkaufen an Silvester und Neujahr,https://www.gratis-in-berlin.de/heute/item/2024208-panik-einkaufen-an-silvester-und-neujahr,Berlin,,Mittwoch 31.12.2025 bis Donnerstag 01.01.2026									   - Anfangszeit: :00 Uhr,52.5173885,13.3951309
Relations in Place | Ausstellung im Bärenzwinger (täglich),https://www.gratis-in-berlin.de/heute/item/2075658-relations-in-place-ausstellung-im-baerenzwinger-taeglich,Rungestraße  30 10179 Berlin,,Montag 17.11.2025 bis Sonntag 25.01.2026									   - Anfangszeit: :00 Uhr,52.5125985,13.4159358
Weihnachtsbeleuchtung um Kudamm mit spektakulären Licht-Motiven,https://www.gratis-in-berlin.de/heute/item/2008297-weihnachtsbeleuchtung-um-kudamm-mit-spektakulaeren-licht-motiven,Berlin Germany,,Montag 24.11.2025 bis Dienstag 06.01.2026									   - Anfangszeit: :00 Uhr,52.5173885,13.3951309
Sinan Dur - Zwischen Moment und Augenblick // Malerei (Mo-Fr 10.00-18.00 Uhr),https://www.gratis-in-berlin.de/heute/item/2076078-sinan-dur-zwischen-moment-und-augenblick-malerei,Koloniestraße 120 13359 Berlin,,Freitag 28.11.2025 bis Freitag 09.01.2026									   - Anfangszeit: :10 Uhr,52.5600538,13.3796208
"Sony World Photography Awards (Di - So, 31.12 & 1.1. zu)",https://www.gratis-in-berlin.de/heute/item/2046662-sony-world-photography-awards-di-so-31-12-1-1-zu,Wilhelmstraße  140 10963 Berlin Germany,,Freitag 17.10.2025 bis Sonntag 18.01.2026									   - Anfangszeit: 12:00 Uhr,52.500366,13.388343
„Auf die Plätze“ Motive aus den Stadtteilen – künstlerisch gestaltet von Potsdamer Kreativen,https://www.gratis-in-berlin.de/heute/item/2075429-auf-die-plaetze-motive-aus-den-stadtteilen-kuenstlerisch-gestaltet-von-potsdamer-kreativen,Pappelallee 4 14469 Potsdam,,Freitag 07.11.2025 bis Freitag 30.01.2026									   - Anfangszeit: 09:00 Uhr,52.4105205,13.0521789
Hoffnung أﻣل - Einzelausstellung der Künstlerin Jamila Barakat,https://www.gratis-in-berlin.de/heute/item/2075988-hoffnung-einzelausstellung-der-kuenstlerin-jamila-barakat,Frankfurter Tor 1 10243 Berlin,,Donnerstag 04.12.2025 bis Sonntag 01.02.2026									   - Anfangszeit: 14:00 Uhr,52.5165034,13.4527335
"Auch Weihnachten, Silvester, Neujahr besondere Weihnachtsmärkte und Weihnachtsebleuchtungen",https://www.gratis-in-berlin.de/heute/item/2018719-auch-weihnachten-silvester-neujahr-besondere-weihnachtsmaerkte-und-weihnachtsebleuchtungen,Berlin,,Mittwoch 31.12.2025 bis Sonntag 04.01.2026									   - Anfangszeit: :00 Uhr,52.5173885,13.3951309
Weihnachtsmarkt auf dem Breitscheidplatz an Gedächtniskirche (täglich),https://www.gratis-in-berlin.de/heute/item/2012628-weihnachtsmarkt-auf-dem-breitscheidplatz-an-gedaechtniskirche-taeglich,Breitscheidplatz 10789  Berlin Germany,,Montag 24.11.2025 bis Sonntag 04.01.2026									   - Anfangszeit: :00 Uhr,52.5049676,13.335294
Leo Lights: Weihnachtsbeleuchtung am Leopoldplatz,https://www.gratis-in-berlin.de/heute/item/2076328-leo-lights-weihnachtsbeleuchtung-am-leopoldplatz,Leopoldplatz 13353 Berlin,,Sonntag 30.11.2025 bis Freitag 09.01.2026									   - Anfangszeit: 16:00 Uhr,52.5463833,13.3591672
"Vera Mercer - Life in Focus ZAK Spandau Fr-Mi 10-17, Do 13-20 Uhr",https://www.gratis-in-berlin.de/heute/item/2074744-vera-mercer-life-in-focus-zak-spandau-fr-mi-10-17-do-13-20-uhr,Am Juliusturm  64 13599 Berlin,,Freitag 19.09.2025 bis Sonntag 11.01.2026									   - Anfangszeit: 19:00 Uhr,52.5410344,13.2127443
Friendly Capitalism Lounge Vol. 22 (Mo-Sa 12-20 Uhr),https://www.gratis-in-berlin.de/heute/item/2075982-friendly-capitalism-lounge-vol-22-mo-sa-12-20-uhr,Rosenthaler Str. 39 10178 Berlin,,Freitag 05.12.2025 bis Samstag 10.01.2026									   - Anfangszeit: :00 Uhr,52.5244928,13.4019195
Sonderausstellung Crossfire von Jac Carley (Do - So),https://www.gratis-in-berlin.de/heute/item/2075969-sonderausstellung-crossfire-von-jac-carley-do-so,Schloßstraße 69 b 14059 Berlin,,Freitag 21.11.2025 bis Sonntag 08.02.2026									   - Anfangszeit: 14:00 Uhr,52.519077,13.297931
Fotoausstellung „Haut der Stadt“ Amtsgericht Tiergarten(Mo-Fr),https://www.gratis-in-berlin.de/heute/item/2076286-fotoausstellung-haut-der-stadt-amtsgericht-tiergarten,Kirchstr 6 10557 Berlin,,Montag 08.12.2025 bis Sonntag 08.02.2026									   - Anfangszeit: 10:18 Uhr,52.5233656,13.3488922
Graciela Carnevale. Pieza Bianca (Di-Fr),https://www.gratis-in-berlin.de/heute/item/2075374-graciela-carnevale-pieza-bianca-di-fr,Chausseestraße  128/129 10115 Berlin,,Samstag 06.12.2025 bis Sonntag 08.02.2026									   - Anfangszeit: :00 Uhr,52.5279121,13.3860465
"Ausstellung ""beyond tongues – Synästhetische Übertragung"" • Sarah Oh-Mock & Bongjun Oh (täglich)",https://www.gratis-in-berlin.de/heute/item/2074813-ausstellung-beyond-tongues-synaesthetische-uebertragung-sarah-oh-mock-bongjun-oh-taeglich,Karl,,Freitag 26.09.2025 bis Sonntag 08.02.2026									   - Anfangszeit: 18:00 Uhr,50.0419792,6.8028082
Moyra Davey (Di-So),https://www.gratis-in-berlin.de/heute/item/2075375-moyra-davey-di-so,Chausseestraße  128,,Samstag 06.12.2025 bis Sonntag 08.02.2026									   - Anfangszeit: :00 Uhr,52.5279522,13.3860998
Trotzdem da! Kinder aus verbotenen Beziehungen zwischen Deutschen und Kriegsgefangenen oder Zwangsarbeiter*innen,https://www.gratis-in-berlin.de/heute/item/2075665-trotzdem-da-kinder-aus-verbotenen-beziehungen-zwischen-deutschen-und-kriegsgefangenen-oder-zwangsarbeiter-innen,Britzer Str.  5 12439 Berlin,,Freitag 21.11.2025 bis Sonntag 26.04.2026									   - Anfangszeit: 10:00 Uhr,52.4526094,13.5187979
Kreativ- und Spielangebot für Kinder,https://www.gratis-in-berlin.de/heute/item/2076373-kreativ-und-spielangebot-fuer-kinder,Helene,,"Jeden Donnerstag
						 - Anfangszeit: 16:30 Uhr",38.9953683,21.9877132
UNO Tournament,https://www.gratis-in-berlin.de/heute/item/2076174-uno-tournament,Weser str 159 12045 Berlin,,"Jeden 1. Donnerstag
						 - Anfangszeit: 07:30 Uhr",52.4824813,13.4430897
Offene Musikstunde (Gitarre),https://www.gratis-in-berlin.de/heute/item/2068669-offene-ensemblestunde-gitarre,Weinmeisterstraße 15 10178 Berlin,,"Jeden Donnerstag
						 - Anfangszeit: 17:30 Uhr",52.5256955,13.4049509
Design & Tape Art - Workshop,https://www.gratis-in-berlin.de/heute/item/2071767-design-tape-art-workshop,Weinmeisterstr. 15 10178 Berlin,,"Jeden Donnerstag
						 - Anfangszeit: 17:00 Uhr",52.5256955,13.4049509
Fotoausstellung - Kontroverse & Paradoxe 2,https://www.gratis-in-berlin.de/heute/item/2075317-fotoausstellung-kontroverse-paradoxe-2,Kurfürstendamm 211 10719 Berlin,,Freitag 07.11.2025 bis Samstag 14.02.2026									   - Anfangszeit: :00 Uhr,52.5020922,13.3249378
Der Silent Book Club® Berlin Fennpfuhl,https://www.gratis-in-berlin.de/heute/item/2074589-der-silent-book-club-berlin-fennpfuhl,Anton,,"Jeden 4. Donnerstag
						 - Anfangszeit: 18:00 Uhr",33.8109271,-102.1632756
Alte Gesellschaftstänze,https://www.gratis-in-berlin.de/heute/item/2006896-einfuehrung-in-historische-tanze,Sprengelstr. 15 13353 Berlin,,"Jeden Donnerstag
						 - Anfangszeit: 18:45 Uhr",52.5419589,13.3548313
Freiraum: Tänzel Culture,https://www.gratis-in-berlin.de/heute/item/2068676-ballett,Weinmeisterstraße 15 10178 Berlin,,"Jeden Donnerstag
						 - Anfangszeit: 17:00 Uhr",52.5256955,13.4049509
Ausstellung: Im Gespräch mit Geistern,https://www.gratis-in-berlin.de/heute/item/2076054-im-gespraech-mit-geistern,Kiehnwerderallee  2 12437 Berlin,,Sonntag 23.11.2025 bis Sonntag 22.02.2026									   - Anfangszeit: 11:00 Uhr,52.4814927,13.4943009
"Miteinander im Kiezladen Tempelhof (Mo, Di, Mi, Fr)",https://www.gratis-in-berlin.de/heute/item/2070914-miteinander-im-kiezladen-tempelhof-mo-di-mi-fr,Badener Ring  15 12101 Berlin,,Montag 01.12.2025 bis Samstag 14.03.2026									   - Anfangszeit: 15:00 Uhr,52.4818441,13.3797732
"Nikolaisaal Potsdam - Kristine Narvida Einzelausstellung ""Studie der Zeit""",https://www.gratis-in-berlin.de/heute/item/2076402-nikolaisaal-potsdam-kristine-narvida-einzelausstellung-studie-der-zeit,Wilhelm,,Donnerstag 18.12.2025 bis Dienstag 03.03.2026									   - Anfangszeit: 12:00 Uhr,48.5326869,13.0330201
Näh-Café Mariendorf jeden 1. und 3. Donnerstag im Monat,https://www.gratis-in-berlin.de/heute/item/2056674-reparatur-cafe-mariendorf,Dirschelweg 1 12109 Berlin,,"Jeden Donnerstag
						 - Anfangszeit: 16:00 Uhr",52.4447662,13.3995619
Up Close – Goldrausch 2025 (täglich),https://www.gratis-in-berlin.de/heute/item/2075249-up-close-goldrausch-2025-taeglich,Schierker Str.  8 12051 Berlin,,Samstag 18.10.2025 bis Mittwoch 25.02.2026									   - Anfangszeit: 10:00 Uhr,52.4708958,13.4368213
Nora Turato (Rund um die Uhr geöffnet),https://www.gratis-in-berlin.de/heute/item/2073358-nora-turato-rund-um-die-uhr-geoeffnet,Chausseestraße  128,,Donnerstag 11.09.2025 bis Montag 31.08.2026									   - Anfangszeit: :00 Uhr,52.5279522,13.3860998
SKOA Standup Comedy Show,https://www.gratis-in-berlin.de/heute/item/2075159-skoa-standup-comedy-show,Kurfürstenstraße  9 10785  Berlin,,"Jeden Donnerstag
						 - Anfangszeit: 20:30 Uhr",52.4992096,13.3674515
Disco Roller Market mit DJ – Rollschuhlaufen im zik,https://www.gratis-in-berlin.de/heute/item/2075145-disco-roller-market-mit-dj-rollschuhlaufen-im-zik,Schloßstr. 82 12165 Berlin,,"Jeden Donnerstag
						 - Anfangszeit: 18:00 Uhr",52.456574,13.3209436
Kleidertauschladen von 16 bis 19 Uhr,https://www.gratis-in-berlin.de/heute/item/2075045-kleidertauschladen-von-16-bis-19-uhr,Braunschweiger Straße 80 12055 Berlin,,"Jeden Donnerstag
						 - Anfangszeit: 16:00 Uhr",52.470611,13.4425376
Jugend editiert Wikipedia,https://www.gratis-in-berlin.de/heute/item/2061808-mach-die-welt-klueger-schreib-fuer-wikipedia,Köpenicker Str. 45 10179  Berlin,,"Jeden 1. Donnerstag
						 - Anfangszeit: 18:00 Uhr",52.5090676,13.4243386
