title,date,time,address,description,url,lat,lon
Die lebende Stadt. Ein fotografisches Spiel der Begegnungen,06.03.2025,09:00 Uhr,Deutsches Technikmuseum,Mit der Foto-Ausstellung „Die lebende Stadt. Ein fotografisches Spiel der Begegnungen“ beteiligt sich das Deutsche Technikmuseum ab dem 6. März am diesjährigen European Month of Photography Berlin (EMOP).,https://www.visitberlin.de/de/event/die-lebende-stadt-ein-fotografisches-spiel-der-begegnungen,52.4971811,13.3759289
Claude Lanz­mann. Die Auf­zeichnungen,27.11.2025,10:00 Uhr,Jüdisches Museum Berlin,"Die Ausstellung ""Claude Lanzmann. Die Aufzeichnungen"" würdigt das Werk des bedeutenden Dokumentarfilmers Claude Lanzmann und gewährt Einblicke in das erstmals präsentierte Audio-Archiv seines Films Shoah – ein einzigartiges Zeitdokument, das seit 2023 zum…",https://www.visitberlin.de/de/event/claude-lanz-mann-die-auf-zeichnungen,52.5022467,13.3951467
Diana Markosian ꟾ Father,21.11.2025,10:00 Uhr,"Fotografiska Berlin – Das zeitgenössische Museum für Fotografie, Kunst und Kultur","Father, zu sehen vom 21. November 2025 bis zum 19. April 2026 im Fotografiska Berlin, ist eine sehr persönliche und autobiografische Ausstellung der Künstlerin Diana Markosian. Sie beschäftigt sich mit Themen wie Abwesenheit, Erinnerung und Versöhnung und…",https://www.visitberlin.de/de/event/diana-markosian-father,52.5257323,13.3889157
Diane Arbus: Konstellationen,16.10.2025,12:00 Uhr,Gropius-Bau,"Diane Arbus gilt als eine der visionärsten und einflussreichsten Künstlerinnen des 20. Jahrhunderts, die mit ihren ausdrucksstarken Schwarz-Weiß-Fotografien ästhetische Konventionen radikal infrage gestellt hat.",https://www.visitberlin.de/de/event/diane-arbus-konstellationen,52.5066209,13.3819472
Ligia Lewis: I’M NOT HERE FORRRRR…,16.10.2025,10:00 Uhr,Gropius-Bau,"Mit I’M NOT HERE FORRRRR… zeigt der Gropius Bau die bisher größte Einzelausstellung der Künstlerin und Choreografin Ligia Lewis. Die Ausstellung umfasst neue und bereits existierende Arbeiten, die im Erdgeschoss sowie im Lichthof des Gropius Bau zu sehen sein…",https://www.visitberlin.de/de/event/ligia-lewis-im-not-here-forrrrr,52.5066209,13.3819472
Monira Al Qadiri. Hero,11.07.2025,10:00 Uhr,"Berlinische Galerie - Landesmuseum für moderne Kunst, Fotografie und Architektur","Die Berlinische Galerie zeigt mit „Hero“ eine Einzelausstellung der international renommierten Künstlerin Monira Al Qadiri. Im Zentrum steht ihre intensive Auseinandersetzung mit den sozialen, ökologischen und politischen Auswirkungen der globalen Ölindustrie.",https://www.visitberlin.de/de/event/monira-al-qadiri-hero,52.5039063,13.3982331
Politics of Care. Fürsorge als Widerstand,05.11.2025,10:00 Uhr,Berlinische Galerie - Ausstellung,"In einer Zeit, die geprägt ist von multiplen Krisen – ökologisch, politisch, sozial – hat die Frage nach care, nach Fürsorge und Verantwortung, eine enorme Bedeutung.",https://www.visitberlin.de/de/event/politics-care-fuersorge-als-widerstand,52.5039063,13.3982331
Raoul Hausmann (1886 – 1971),08.11.2025,10:00 Uhr,Berlinische Galerie - Ausstellung,Raoul Hausmann gehört zu den innovativsten Avantgardisten der Klassischen Moderne. Die Berlinische Galerie widmet seinem Werk eine umfassende Retrospektive.,https://www.visitberlin.de/de/event/raoul-hausmann-1886-1971,52.5039063,13.3982331
"Besuch der Dachterrasse:  Ausblicke auf die Geschichte des Ortes, Kunst am Bau und die Wahrzeichen Berlins",01.01.2026,10:30 – 		18:30 Uhr,Humboldt Forum – Dachterrasse,"In 30 Meter Höhe bietet die Dachterrasse des Humboldt Forums in Berlin einen einzigartigen Ausblick mit Blick in alle vier Himmelsrichtungen auf die Wahrzeichen Berlins mit Museumsinsel, Brandenburger Tor, Alexanderplatz, Berliner Dom und Marienkirche. Aber…",https://www.visitberlin.de/de/event/besuch-der-dachterrasse-ausblicke-auf-die-geschichte-des-ortes-kunst-am-bau-und-die,52.5172643,13.4005396
Alles unter dem Himmel. Harmonie in der Familie und im Staat,01.01.2026,12:00 – 		18:00 Uhr,Humboldt Forum - Museum für Asiatische Kunst,"Wie tief greift der Staat in das private Leben ein? Im Fokus der Ausstellung steht das Spannungsverhältnis von Familie und Staat im 20. Jahrhundert in China und Korea – zwischen Ideologie, Fürsorge und Kontrolle.",https://www.visitberlin.de/de/event/alles-unter-dem-himmel-harmonie-der-familie-und-im-staat,52.5172152,13.4007352
