title,url,address,description,detailed_date,lat,lon
"Wild Wednesday w. ""300 Yen"" (Punk-Wave-Metal/Bln)",https://www.gratis-in-berlin.de/heute/item/2075104-wild-wednesday-w-300-yen-punk-wave-metal-bln,Wiener Strasse 20 10999 Berlin,,"Mittwoch 17.12.2025									  
											 - Anfangszeit: 21:00 Uhr",52.4973055,13.4304753
MissVergnügen presents: Pastor Leumund – live!,https://www.gratis-in-berlin.de/heute/item/2076152-missvergnuegen-presents-pastor-leumund-live,Rosenthaler Str. 39 10178 Berlin,,"Mittwoch 17.12.2025									  
											 - Anfangszeit: 21:00 Uhr",52.5244928,13.4019195
KussKuss Komedy - Standup Comedy Show - 20 Uhr / Neukölln / Deriva Bar / Mainzerstr. 23 / U8 Boddinstr,https://www.gratis-in-berlin.de/heute/item/2029825-kusskuss-komedy-im-deriva-am-22-02,Mainzerstraße 23 12053 Berlin,,"Mittwoch 17.12.2025									  
											 - Anfangszeit: 20:00 Uhr",52.4807437,13.4277148
Filmreihe „Cinema Surreal“,https://www.gratis-in-berlin.de/heute/item/2074610-filmreihe-cinema-surreal,70 Schloßstraße 14059  Berlin,,"Mittwoch 17.12.2025									  
											 - Anfangszeit: 18:00 Uhr",52.5192239,13.2971723
"Kamishibai – Geschichten erzählen, gestalten und skizzieren mit Christina Allzeit",https://www.gratis-in-berlin.de/heute/item/2074981-kamishibai-geschichten-erzaehlen-gestalten-und-skizzieren-mit-christina-allzeit,Residenzstraße 132 13409 Berlin,,"Mittwoch 17.12.2025									  
											 - Anfangszeit: 17:00 Uhr",52.5692012,13.3617821
"Geheim nach 5 - Feierabendführung in der Stasi-Unterlagen-Archiv-Ausstellung ""Einblick ins Geheime""",https://www.gratis-in-berlin.de/heute/item/2076354-geheim-nach-5-feierabendfuehrung-in-der-stasi-unterlagen-archiv-ausstellung-einblick-ins-geheime,Normannenstraße 21a 10365 Berlin,,"Mittwoch 17.12.2025									  
											 - Anfangszeit: :17 Uhr",52.5155402,13.488056
"Lehrkräftefortbildung ""Israelbezogener Antisemitismus""",https://www.gratis-in-berlin.de/heute/item/2076205-lehrkraeftefortbildung-israelbezogener-antisemitismus,Mauerstr.   83/84 10117 Berlin,,"Mittwoch 17.12.2025									  
											 - Anfangszeit: :09 Uhr",52.5088616,13.3886209
Einladung zur Lesung – Geschichten eines Tanuki,https://www.gratis-in-berlin.de/heute/item/2076312-einladung-zur-lesung-geschichten-eines-tanuki,Schulze,,"Mittwoch 17.12.2025									  
											 - Anfangszeit: 18:00 Uhr",42.4244666,-83.1690246
Magische Foto-Werkstatt: Wir zaubern uns in Winterwunderwelten,https://www.gratis-in-berlin.de/heute/item/2076007-magische-foto-werkstatt-wir-zaubern-uns-in-winterwunderwelten,Frankfurter Allee 14a 10247 Berlin,,"Mittwoch 17.12.2025									  
											 - Anfangszeit: 15:00 Uhr",52.514551,13.4570531
Kostenfreies Sprachcafé,https://www.gratis-in-berlin.de/heute/item/2073904-kostenfreies-sprachcafe,Unter den Linden 5 10117 Berlin,,"Mittwoch 17.12.2025									  
											 - Anfangszeit: 15:00 Uhr",52.5171465,13.3961451
