title,url,address,lat,lon
Tag der Menschen mit Behinderung: Eintritt frei im Deutschen Historischen Museum,https://www.gratis-in-berlin.de/heute/item/2076048-tag-der-menschen-mit-behinderung-eintritt-frei-im-deutschen-historischen-museum,Unter den Linden 2 10117 Berlin Germany,52.5177477,13.3970225
Ruwe/Valenske präsentieren: 2025 – es war ja nicht alles gut,https://www.gratis-in-berlin.de/heute/item/2076086-ruwe-valenske-praesentieren-2025-es-war-ja-nicht-alles-gut,Otto,42.356173,-78.8317
"Elisabeth Pape: ""Halbe Portion""",https://www.gratis-in-berlin.de/heute/item/2075720-elisabeth-pape-halbe-portion,Frankfurter Allee Frankfurter Allee 10247 Berlin,52.5149375,13.4745707
"Andersens Koffer Theater präsentiert: ""Bethlehem""",https://www.gratis-in-berlin.de/heute/item/2075688-andersens-koffer-theater-praesentiert-bethlehem,Havemannstr. 17b 12689 Berlin,52.5682736,13.5739696
Filmreihe „Cinema Surreal“,https://www.gratis-in-berlin.de/heute/item/2074610-filmreihe-cinema-surreal,70 Schloßstraße 14059  Berlin,52.5192239,13.2971723
"Adventslesungen mit Ina Bhatter ""Drei Tage im Schnee""",https://www.gratis-in-berlin.de/heute/item/2076216-adventslesungen-mit-ina-bhatter-drei-tage-im-schnee,Markstraße 5 113409 Berlin,52.5630856,13.364093
KussKuss Komedy - Standup Comedy Show - 20 Uhr / Neukölln / Deriva Bar / Mainzerstr. 23 / U8 Boddinstr,https://www.gratis-in-berlin.de/heute/item/2029825-kusskuss-komedy-im-deriva-am-22-02,Mainzerstraße 23 12053 Berlin,52.4807111,13.4277565
Lachyoga im Kreativhaus auf der Fischerinsel,https://www.gratis-in-berlin.de/heute/item/2071059-lachen-entfesselt-kreativitaet-lachyoga-im-kreativhaus-auf-der-fischerinsel,Fischerinsel 3 10179 Berlin,52.5133662,13.4097893
Silent Book Club Weihnachtsspecial,https://www.gratis-in-berlin.de/heute/item/2075718-silent-book-club-weihnachtsspecial,Frankfurter Allee Frankfurter Allee 10247 Berlin,52.5149375,13.4745707
"Sozialer Weihnachtsmarkt - Weihnachtszauber aus den Werkstätten, handgemacht und nachhaltig",https://www.gratis-in-berlin.de/heute/item/2076162-sozialer-weihnachtsmarkt-weihnachtszauber-aus-den-werkstaetten-handgemacht-und-nachhaltig,Pillnitzer Weg  8 13593 Berlin,52.5229862,13.1575774
Die Lesereihe „Live bei Kleist“ präsentiert: „Bethlehem“ mit Andersens Koffer Theater,https://www.gratis-in-berlin.de/heute/item/2076151-die-lesereihe-live-bei-kleist-praesentiert-bethlehem-mit-andersens-koffer-theater,Havemannstraße  17B 12689 Berlin,52.5682736,13.5739696
Der „Literarische Kaffeeplausch“ präsentiert: Lesung trifft Impro - Die spontanste Lesung und die erlesenste Improvisation mit dem „Theater ohne Probe“,https://www.gratis-in-berlin.de/heute/item/2076132-der-literarische-kaffeeplausch-praesentiert-lesung-trifft-impro-die-spontanste-lesung-und-die-erlesenste-improvisation-mit-dem-theater-ohne-probe,Alte Hellersdorfer Str.  125 12629 Berlin,52.5462021,13.5915108
M - das Mastul sucht die Mafiosi / Wedding,https://www.gratis-in-berlin.de/heute/item/2072284-m-das-mastul-sucht-die-mafiosi-wedding,Liebenwalder Straße 33 13347 Berlin,52.5523084,13.3582009
Weird Tunes for Winter,https://www.gratis-in-berlin.de/heute/item/2075986-weird-tunes-for-winter,Rosenthaler strasse 39 10178 Berlin,52.5244928,13.4019195
Art in the Sky,https://www.gratis-in-berlin.de/heute/item/2072866-poetry-rave,Landsberger Allee 106 10369 Berlin,52.5280748,13.4568105
Miteinander statt allein – Kreativtag am Wasserturm,https://www.gratis-in-berlin.de/heute/item/2075956-miteinander-statt-allein-kreativtag-am-wasserturm,Prenzlauer Allee  227 10405 Berlin,52.5332658,13.4203223
Vor Ort: Bei den Pflegern der Kunst -Teil 2: Gemäldegalerie der Staatlichen Museen – Preußischer Kunstbesitz,https://www.gratis-in-berlin.de/heute/item/2075900-vor-ort-bei-den-pflegern-der-kunst-teil-2-gemaeldegalerie-der-staatlichen-museen-preussischer-kunstbesitz,10785 Berlin,52.5052449,13.3629834
Führung durch die Mittelpunktbibliothek in Deutscher Laut- und Gebärdensprache,https://www.gratis-in-berlin.de/heute/item/2075897-fuehrung-durch-die-mittelpunktbibliothek-in-deutscher-laut-und-gebaerdensprache,Adalbertstraße 2 10999 Berlin,52.4998314,13.4185013
UnNormale Perfektion. Ein kreativer Workshop mit Theater und Bildgestaltung,https://www.gratis-in-berlin.de/heute/item/2075827-unnormale-perfektion-ein-kreativer-workshop-mit-theater-und-bildgestaltung,Schöneicher Straße  10a 13055 Berlin,52.5437059,13.4970804
