title,category,venue,address,date,url,lat,lon
Comic-Stipendium 2025,Ausstellung/Museen,Museum für Kommunikation,"Leipziger Str. 16, 10117 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005154/,52.5099308,13.3872552
Dioskuren - Der geschenkte Tag,Ausstellung/Museen,Neues Museum,"Bodestr. 1-3, 10178 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005054/,52.520862,13.3982661
Flucht,Ausstellung/Museen,Museum Europäischer Kulturen,"Arnimallee 25, 14195 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004990/,52.455519,13.2926911
"Heute noch, morgen schon",Ausstellung/Museen,Nikolaikirche,"Nikolaikirchpl., 10178 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005244/,52.5168734,13.4075394
"Im Visier! Lovis Corinth, die Nationalgalerie und die Aktion ""Entartete Kunst""",Ausstellung/Museen,Alte Nationalgalerie,"Bodestraße 1-3, 10178 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004998/,52.520862,13.3982661
Käthe Kollwitz - Stille Kraft,Ausstellung/Museen,Käthe-Kollwitz-Museum,"Spandauer Damm 10, 14059 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.2853615592/,52.5206424,13.2927104
Max Ernst bis Dorothea Tanning. Netzwerke des Surrealismus,Ausstellung/Museen,Neue Nationalgalerie,"Potsdamer Str. 50, 10785 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004952/,52.5070409,13.3676212
Natur und deutsche Geschichte. Glaube - Biologie - Macht,Ausstellung/Museen,Deutsches Historisches Museum,"Unter den Linden 2, 10117 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004821/,52.5177477,13.3970225
Raoul Hausmann. Vision. Provokation. Dada.,Ausstellung/Museen,Berlinische Galerie,"Alte Jakobstr. 124-128, 10969 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004958/,52.5039063,13.3982331
The Clock,Ausstellung/Museen,Neue Nationalgalerie,"Potsdamer Str. 50, 10785 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005170/,52.5070409,13.3676212
Wundersame Wichtelwelt,Bühne/Schauspiel,Jaro Theater,"Schlangenbader Str. 30, 14197 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/buehne+schauspiel/1465.10064994/,52.4716475,13.307745
Another World is Possible,Ausstellung/Andere Orte,zik - Zeit Ist Knapp,"Schloßstr. 83, 12165 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.2855837605/,52.5004388,13.5224249
Die da oben!,Bühne/Schauspiel,Theater im Delphi,"Gustav-Adolf-Str. 2, 13086 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/buehne+schauspiel/1465.10097887/,52.5519035,13.4311632
F90 x Tranceformation - Nikolaus Edition,Musik/Party,Lokschuppen,"Revaler Str. 99, 10245 Berlin",Fr. 05.12,https://www.tip-berlin.de/event/musik+party/1465.2860985056/,52.5071145,13.4552916
