title,url,address,lat,lon
Markt der Engagement-Möglichkeiten in der Ingeborg-Drewitz-Bibliothek in Berlin-Steglitz,https://www.gratis-in-berlin.de/heute/item/2076016-markt-der-engagement-moeglichkeiten-in-der-ingeborg-drewitz-bibliothek-in-berlin-steglitz,Grunewaldstraße 3 12165 Berlin,52.4577849,13.3196255
Soul @ Peppi Guggenheim: Cactus In A Garage,https://www.gratis-in-berlin.de/heute/item/2075999-soul-peppi-guggenheim-cactus-in-a-garage,Weichselstrasse 7 12043 Berlin,52.4842382,13.4330943
Winterfest im Kreativhaus,https://www.gratis-in-berlin.de/heute/item/2075980-winterfest-im-kreativhaus,Fischerinsel 3 10179 Berlin,52.5133662,13.4097893
Das Farbenmonster Eltern-Kind-Workshop - Gefühle ausdrücken und erkennen,https://www.gratis-in-berlin.de/heute/item/2075991-das-farbenmonster-eltern-kind-workshop-gefuehle-ausdruecken-und-erkennen,Halemweg 18 13627 Berlin,52.5376949,13.2873899
Handpan Musik Meditation,https://www.gratis-in-berlin.de/heute/item/2075975-handpan-musik-meditation,Schönholzer Straße 10 13187 Berlin,52.5698496,13.3994097
Mitmach-Comic-Lesung: „Der Bärbeiß und andere Geschichten“,https://www.gratis-in-berlin.de/heute/item/2075914-mitmach-comic-lesung-der-baerbeiss-und-andere-geschichten,Wilhelmsruher Damm 142c 13439 Berlin,52.5976675,13.3523189
Telefonführung: Der Treck – Fotografien einer Flucht 1945,https://www.gratis-in-berlin.de/heute/item/2075320-telefonfuehrung-der-treck-fotografien-einer-flucht-1945,Stresemannstraße  90 10963 Berlin,52.5048708,13.3822143
Stimmungsvolles Weihnachtskonzert mit Lyrik und Geschichten,https://www.gratis-in-berlin.de/heute/item/2075623-stimmungsvolles-weihnachtskonzert-mit-lyrik-und-geschichten,Marzahner Promenade  55 12679 Berlin,52.5467698,13.5567171
Andächtiges Staunen – eine geistliche Raumbegehung durch St. Marien,https://www.gratis-in-berlin.de/heute/item/2063532-andaechtiges-staunen-eine-geistliche-raumbegehung-durch-st-marien,Karl,50.0419792,6.8028082
Menschen und Tiere modellieren mit Jeanine Fornacon,https://www.gratis-in-berlin.de/heute/item/2074968-menschen-und-tiere-modellieren-mit-jeanine-fornacon,Residenzstraße 132 13409 Berlin,52.5692012,13.3617821
Böhmischer Weihnachtsmarkt auf Weberplatz Postdam Babelsberg,https://www.gratis-in-berlin.de/heute/item/2011418-boehmischer-weihnachtsmarkt-auf-weberplatz-postdam-babelsberg,Weberplatz 14482 Potsdam,52.3935087,13.0963919
Häppy Dystopia - Kunstausstellung 5. - 7.12.2025,https://www.gratis-in-berlin.de/heute/item/2076157-haeppy-dystopia-kunstausstellung-5-7-12-2025,Danziger Str.  172 10407 Berlin,52.5324413,13.4400655
Weihnachtströdel am Richardplatz in Neukölln,https://www.gratis-in-berlin.de/heute/item/2068777-troedel-am-richardplatz-in-neukoelln,Richardplatz 6 12055 Berlin,52.4744423,13.4445385
Hennigsdorfer Weihnachtsmarkt,https://www.gratis-in-berlin.de/heute/item/2074906-hennigsdorfer-weihnachtsmarkt,Postplatz 16761 Berlin,52.4313213,13.2578427
Weihnachts-Ausstellung Floristik und Malerei (Sa - Di),https://www.gratis-in-berlin.de/heute/item/2076196-weihnachts-ausstellung-floristik-und-malerei-sa-di,Reuterstraße  82 Berlin Berlin,52.4834035,13.4287591
Interaktive Nachhaltigkeitsausstellung  „Green up your Life!“ im Berliner Hauptbahnhof,https://www.gratis-in-berlin.de/heute/item/2075909-interaktive-nachhaltigkeitsausstellung-green-up-your-life-im-berliner-hauptbahnhof,Europaplatz 1 10557 Berlin,52.5257435,13.3685757
"Die Aktgalerie / ""Portraits etwas anders"" von Bernd Rietdorff und Lucas Dörfner (Fr-Sa-So)",https://www.gratis-in-berlin.de/heute/item/2075477-die-aktgalerie-portraits-etwas-anders-von-bernd-rietdorff-und-lucas-doerfner-fr-sa-so,Krossener Straße 34 10245 Berlin,52.5093544,13.464978
"Mitmach-Ausstellung für Kinder: „Ich bestimme mit! In Familie, Schule und Freizeit.“ (Mo - Sa)",https://www.gratis-in-berlin.de/heute/item/2074082-mitmach-ausstellung-fuer-kinder-ich-bestimme-mit-in-familie-schule-und-freizeit-mo-sa,Frankfurter Allee 14A 10247 Berlin,52.514551,13.4570531
Spielenachmittage für Jung & Alt in der Stadtteilbibliothek Lichtenrade,https://www.gratis-in-berlin.de/heute/item/2074226-spielenachmittage-fuer-jung-alt-in-der-stadtteilbibliothek-lichtenrade,Steinstr. 41 12307 Berlin,52.3878731,13.3971538
Yu-Gi-Oh! Duell-Arena,https://www.gratis-in-berlin.de/heute/item/2073983-yu-gi-oh-duell-arena,Steinstr. 41 12307 Berlin,52.3878731,13.3971538
Stricktreff für Anfänger*innen & Fortgeschrittene,https://www.gratis-in-berlin.de/heute/item/2075717-stricktreff-fuer-anfaenger-innen-fortgeschrittene,Frankfurter Allee Frankfurter Allee 10247 Berlin,52.5149375,13.4745707
Kurzgeschichten Wettbewerb für Jugendliche 8 - 12 / 12 - 16,https://www.gratis-in-berlin.de/heute/item/2076233-kurzgeschichten-wettbewerb-fuer-jugendliche-8-12-12-16,Crellestraße 38 10827 Berlin,52.4879674,13.3603428
Erzähltheater für Kinder - Mit Kathleen Rappolt (einzelne Termine),https://www.gratis-in-berlin.de/heute/item/2075990-erzaehltheater-fuer-kinder-mit-kathleen-rappolt-einzelne-termine,Berlin,52.5173885,13.3951309
Retrovision: 10 Jahre Chaussee 36 (Mi - Sa),https://www.gratis-in-berlin.de/heute/item/2074287-retrovision-10-jahre-chaussee-36-mi-sa,Chausseestr.  36 10115 Berlin,52.5332955,13.380659
Europacity-Vibes-Weihnachtsmarkt (täglich),https://www.gratis-in-berlin.de/heute/item/2075994-europacity-vibes-weihnachtsmarkt-taeglich,Europaplatz 1 10557 Berlin,52.5257435,13.3685757
"Das Romanische Café im Stil der 20er (Fr, Sa & Adventssonntage)",https://www.gratis-in-berlin.de/heute/item/2065322-das-romanische-cafe-im-stil-der-20er-fr-sa-adventssonntage,Tauentzienstraße  9 10787 Berlin,52.504856,13.337072
Lucia Weihnachtsmarkt in der Kulturbrauerei Berlin (täglich),https://www.gratis-in-berlin.de/heute/item/2033408-lucia-weihnachtsmarkt-in-der-kulturbrauerei-berlin-taeglich,Schönhauser Allee 36,52.5394242,13.4136682
Spandauer Winterland (außer 16. & 23.11.),https://www.gratis-in-berlin.de/heute/item/2075923-spandauer-winterland-ausser-16-23-11,Klosterstraße 38 13581 Berlin,52.5334839,13.1996139
MAP 2025 – Arrival? Bremen – Hanoi – Berlin (Dienstag – Samstag: 11 – 19 Uhr),https://www.gratis-in-berlin.de/heute/item/2075903-map-2025-arrival-bremen-hanoi-berlin,Turmstraße 75 10551 Berlin,52.5264293,13.33386
Spandauer Weihnachtsmarkt,https://www.gratis-in-berlin.de/heute/item/2001348-spandauer-weihnachtsmarkt,Altstadt Spandau 13597 Berlin Germany,52.5388381,13.2062573
LGBT Winterdays & Christmas Avenue in Schöneberg (täglich außer 23.11.),https://www.gratis-in-berlin.de/heute/item/2075848-lgbt-winterdays-christmas-avenue-in-schoeneberg-taeglich-ausser-23-11,Nollendorfplatz 10787 Berlin,52.4995972,13.3537297
KI zum Anfassen im Technikmuseum (Di - So),https://www.gratis-in-berlin.de/heute/item/2071060-ki-zum-anfassen-im-technikmuseum-di-so,Möckernstraße 26 10963 Berlin,52.4981416,13.3792632
"""Das Junge Rheinland"": Künstlergruppe der 20er Jahre.",https://www.gratis-in-berlin.de/heute/item/2075725-das-junge-rheinland-kuenstlergruppe-der-20er-jahre,Fasanenstr. 29 12205 Berlin,52.5008909,13.3269253
Berliner Wintertraum  (täglich außer Heiligabend),https://www.gratis-in-berlin.de/heute/item/2075537-berliner-wintertraum-taeglich-ausser-heiligabend,Schnellerstraße 145 12439 Berlin,52.4645931,13.4982029
Historischer Weihnachtsmarkt Potsdam - Blauer Lichterglanz (täglich außer Heiligabend),https://www.gratis-in-berlin.de/heute/item/2008243-historischer-weihnachtsmarkt-potsdam-blauer-lichterglanz-taeglich-ausser-heiligabend,Brandenburgische Str. 14467 Potsdam Germany,52.4003618,13.063534
Weihnachtsmarkt Schloss Charlottenburg (außer 24.12.),https://www.gratis-in-berlin.de/heute/item/2013073-weihnachtsmarkt-schloss-charlottenburg-ausser-24-12,Spandauer Damm  10,52.5205554,13.2963595
"""Die Feuerzangenbowle"" mit Heinz Rühmann im Nikolaiviertel beim ""Winter-Film-Fest"" schauen (tgl. außer Heiligabend)",https://www.gratis-in-berlin.de/heute/item/2034412-die-feuerzangenbowle-mit-heinz-ruehmann-im-nikolaiviertel-beim-winter-film-fest-schauen-tgl-ausser-heiligabend,Nikolaiviertel Poststraße 7 10178 Berlin,52.5168212,13.4061613
Weihnachts-Rummel Winterzauber an der Landsberger Allee (täglich außer 23.11. & 24.12.),https://www.gratis-in-berlin.de/heute/item/2047112-weihnachts-rummel-winterzauber-an-der-landsberger-allee-taeglich-ausser-23-11-24-12,Landsberger Allee 364 10365 Berlin,52.5338376,13.514577
Stranger Things Weihnachtsmarkt (täglich außer 24.-26.12.),https://www.gratis-in-berlin.de/heute/item/2076257-stranger-things-weihnachtsmarkt-taeglich-ausser-24-26-12,229 Kürfurstendamm  10719  Berlin,52.5036757,13.3322146
Weihnachtsmarkt 'Berliner Weihnachtszeit' am Roten Rathaus / Alexanderplatz mit Eisbahn (außer Heiligabend),https://www.gratis-in-berlin.de/heute/item/2005336-weihnachtsmarkt-berliner-weihnachtszeit-am-roten-rathaus-alexanderplatz-mit-eisbahn-ausser-heiligabend,Berlin Germany,52.5173885,13.3951309
Kunstausstellung Let's Talk About Food von Tainá Guedes (Mo - Sa),https://www.gratis-in-berlin.de/heute/item/2074645-kunstausstellung-let-s-talk-about-food-von-taina-guedes-mo-sa,Wilmersdorfer Str.  46 10627 Berlin,52.5091104,13.3046728
Zusammenleben (einzelne Termine),https://www.gratis-in-berlin.de/heute/item/2074208-zusammenleben-einzelne-termine,Blücherplatz 1 10961 Berlin,52.4965672,13.3924936
Weihnachtsmarkt Winterquartier Napoleon Komplex (täglich außer 24. & 25.12.),https://www.gratis-in-berlin.de/heute/item/2076133-weihnachtsmarkt-winterquartier-napoleon-komplex-taeglich-ausser-24-25-12,Modersohnstraße 49a 10245 Berlin,52.5043491,13.4577378
Winterwelt 2025 / 2026 am Potsdamer Platz (täglich),https://www.gratis-in-berlin.de/heute/item/2025264-winterwelt-2024-2025-am-potsdamer-platz-taeglich,Marlene,-22.8933426,-43.2570551
Manatunga. Künstlerische Interventionen von George Nuku (Mi - Mo),https://www.gratis-in-berlin.de/heute/item/2072414-manatunga-kuenstlerische-interventionen-von-george-nuku-mi-mo,"Humboldt Forum, Schloßplatz 10178 Berlin",52.5172152,13.4007352
Weihnachtsmarkt am Humboldt Forum & Wintermarkt (außer 24.12.) mit Laser-Shows Di & Do,https://www.gratis-in-berlin.de/heute/item/2070628-weihnachtsmarkt-am-humboldt-forum-wintermarkt-ausser-24-12-mit-laser-shows-di-do,Schlossplatz 10178 Berlin,52.5167106,13.4024811
Weihnachtsmarkt am Kadewe Wittenbergplatz (täglich),https://www.gratis-in-berlin.de/heute/item/2075545-weihnachtsmarkt-am-kadewe-wittenbergplatz-taeglich,Berlin,52.5173885,13.3951309
Weihnachtsbeleuchtung um Kudamm mit spektakulären Licht-Motiven,https://www.gratis-in-berlin.de/heute/item/2008297-weihnachtsbeleuchtung-um-kudamm-mit-spektakulaeren-licht-motiven,Berlin Germany,52.5173885,13.3951309
Friendly Capitalism Lounge Vol. 22 (Mo-Sa 12-20 Uhr),https://www.gratis-in-berlin.de/heute/item/2075982-friendly-capitalism-lounge-vol-22-mo-sa-12-20-uhr,Rosenthaler Str. 39 10178 Berlin,52.5244928,13.4019195
"Vera Mercer - Life in Focus ZAK Spandau Fr-Mi 10-17, Do 13-20 Uhr",https://www.gratis-in-berlin.de/heute/item/2074744-vera-mercer-life-in-focus-zak-spandau-fr-mi-10-17-do-13-20-uhr,Am Juliusturm  64 13599 Berlin,52.5410344,13.2127443
Sony World Photography Awards (Di - So),https://www.gratis-in-berlin.de/heute/item/2046662-sony-world-photography-awards-di-so,Wilhelmstraße  140 10963 Berlin Germany,52.500366,13.388343
Relations in Place | Ausstellung im Bärenzwinger (täglich),https://www.gratis-in-berlin.de/heute/item/2075658-relations-in-place-ausstellung-im-baerenzwinger-taeglich,Rungestraße  30 10179 Berlin,52.5125985,13.4159358
„Auf die Plätze“ Motive aus den Stadtteilen – künstlerisch gestaltet von Potsdamer Kreativen,https://www.gratis-in-berlin.de/heute/item/2075429-auf-die-plaetze-motive-aus-den-stadtteilen-kuenstlerisch-gestaltet-von-potsdamer-kreativen,Pappelallee 4 14469 Potsdam,52.4105205,13.0521789
Hoffnung أﻣل - Einzelausstellung der Künstlerin Jamila Barakat,https://www.gratis-in-berlin.de/heute/item/2075988-hoffnung-einzelausstellung-der-kuenstlerin-jamila-barakat,Frankfurter Tor 1 10243 Berlin,52.5165034,13.4527335
Sonderausstellung Crossfire von Jac Carley (Do - So),https://www.gratis-in-berlin.de/heute/item/2075969-sonderausstellung-crossfire-von-jac-carley-do-so,Schloßstraße 69 b 14059 Berlin,52.519077,13.297931
"Ausstellung ""beyond tongues – Synästhetische Übertragung"" • Sarah Oh-Mock & Bongjun Oh (täglich)",https://www.gratis-in-berlin.de/heute/item/2074813-ausstellung-beyond-tongues-synaesthetische-uebertragung-sarah-oh-mock-bongjun-oh-taeglich,Karl,50.0419792,6.8028082
Fotoausstellung - Kontroverse & Paradoxe 2,https://www.gratis-in-berlin.de/heute/item/2075317-fotoausstellung-kontroverse-paradoxe-2,Kurfürstendamm 211 10719 Berlin,52.5020922,13.3249378
Ausstellung: Im Gespräch mit Geistern,https://www.gratis-in-berlin.de/heute/item/2076054-im-gespraech-mit-geistern,Kiehnwerderallee  2 12437 Berlin,52.4814927,13.4943009
Up Close – Goldrausch 2025 (täglich),https://www.gratis-in-berlin.de/heute/item/2075249-up-close-goldrausch-2025-taeglich,Schierker Str.  8 12051 Berlin,52.4707745,13.4368053
"Miteinander im Kiezladen Tempelhof (Mo, Di, Mi, Fr)",https://www.gratis-in-berlin.de/heute/item/2070914-miteinander-im-kiezladen-tempelhof-mo-di-mi-fr,Badener Ring  15 12101 Berlin,52.4818441,13.3797732
Wechselausstellung: Ostblicke. Fotografien von Sophie Kirchner und Philipp Baumgarten (Di - So),https://www.gratis-in-berlin.de/heute/item/2070889-wechselausstellung-ostblicke-fotografien-von-sophie-kirchner-und-philipp-baumgarten-di-so,Knaackstraße 97 10435 Berlin,52.5402922,13.4140783
Trotzdem da! Kinder aus verbotenen Beziehungen zwischen Deutschen und Kriegsgefangenen oder Zwangsarbeiter*innen,https://www.gratis-in-berlin.de/heute/item/2075665-trotzdem-da-kinder-aus-verbotenen-beziehungen-zwischen-deutschen-und-kriegsgefangenen-oder-zwangsarbeiter-innen,Britzer Str.  5 12439 Berlin,52.4526094,13.5187979
Feliciano Lana. Die Geschichte der Weißen (Mi - Mo),https://www.gratis-in-berlin.de/heute/item/2071887-feliciano-lana-die-geschichte-der-weissen-mi-mo,"Humboldt Forum, Schloßplatz 10178 Berlin",52.5172152,13.4007352
Systemrelevant: Frauen in Herrscherfamilien (Mi - Mo),https://www.gratis-in-berlin.de/heute/item/2075913-systemrelevant-frauen-in-herrscherfamilien-mi-mo,"Humboldt Forum, Schloßplatz 10178 Berlin",52.5172152,13.4007352
Nora Turato (Rund um die Uhr geöffnet),https://www.gratis-in-berlin.de/heute/item/2073358-nora-turato-rund-um-die-uhr-geoeffnet,Chausseestraße  128,52.5277487,13.3862025
Nur Ein Open Mic (jeden 2. & 4. Freitag),https://www.gratis-in-berlin.de/heute/item/2073567-nur-ein-open-mic-jeden-2-4-freitag,Donaustraße  112 12043 Berlin,52.4832301,13.4341503
Late Night Comedy Hour (Free English Comedy Show),https://www.gratis-in-berlin.de/heute/item/2076092-late-night-comedy-hour-free-english-comedy-show,Donaustraße  112 12043 Berlin,52.4832301,13.4341503
Offene Musikstunde (Klavier),https://www.gratis-in-berlin.de/heute/item/2068670-offene-ensemblestunde-klavier,Weinmeisterstraße 15 10178 Berlin,52.5256955,13.4049509
Smartphone-Sprechstunde,https://www.gratis-in-berlin.de/heute/item/2058095-smartphone-sprechstunde,Pauline,34.8331835,-81.8723235
Grand Jam Session,https://www.gratis-in-berlin.de/heute/item/2075887-grand-jam-session-hosted-by-soundwave-collective,Schloßstr. 82 12165 Berlin,52.4563519,13.3208269
Nähtreff in der Bezirkszentralbibliothek Tempelhof,https://www.gratis-in-berlin.de/heute/item/2074214-naehtreff-in-der-bezirkszentralbibliothek-tempelhof,Götzstr. 8,51.5024231,11.9954798
"""Hands on"" - Djembé-Trommelgruppe",https://www.gratis-in-berlin.de/heute/item/2075420-hands-on-djembe-trommelgruppe,Weißenburger Straße  9,48.1287726,11.5954779
Kuscheltierübernachtung in der Stadtteilbibliothek Halemweg,https://www.gratis-in-berlin.de/heute/item/2075312-kuscheltieruebernachtung-in-der-stadtteilbibliothek-halemweg,Halemweg 18 13627 Berlin,52.5376949,13.2873899
Offener WerkRaum,https://www.gratis-in-berlin.de/heute/item/2075248-offener-werkraum,Frankfurter Allee 14a 10247 Berlin,52.514551,13.4570531
SKOA Standup Comedy Show,https://www.gratis-in-berlin.de/heute/item/2075160-skoa-standup-comedy-show,Skalitzer Straße 64 10997 Berlin,52.5001602,13.4388221
"Comedy Show: ""Crazy Stupid Berlin""",https://www.gratis-in-berlin.de/heute/item/2074877-comedy-show-crazy-stupid-berlin,Wrangelstr. 25 10997 Berlin,52.502122,13.4329412
Gerhilds Brücken-Mucke,https://www.gratis-in-berlin.de/heute/item/2072328-5-jahre-bruecken-mucke,Carl,34.0036169,-83.8110153
"Sport im Park Schöneberg 16:00-17:00 Fitnessgymnastik, 17:00-18:00  Gleichgewicht & Koordination",https://www.gratis-in-berlin.de/heute/item/2072602-sport-im-park-schoeneberg-16-00-17-00-fitnessgymnastik-17-00-18-00-gleichgewicht-koordination,Freiherr,50.0995225,8.6835843
Papierwerkstatt / Paper Workshop,https://www.gratis-in-berlin.de/heute/item/2072869-papierwerkstatt-paper-workshop,Weinmeisterstr. 15 10178 Berlin,52.5256955,13.4049509
Führung durch die Ausstellung Wissenschaft und Unrecht | Erinnerungsort Ihnestraße,https://www.gratis-in-berlin.de/heute/item/2071049-fuehrung-durch-die-ausstellung-wissenschaft-und-unrecht-erinnerungsort-ihnestrasse,Ihnestr. 22 14195 Berlin,52.448917,13.2776817
"Smartphones, Laptops, Beratung & Support mit Fokus auf Privatsphäre",https://www.gratis-in-berlin.de/heute/item/2064895-reparierbar-reparieren-statt-wegwerfen,Arminiusstraße 2,52.527454,13.3385389
Lichtwerk - Kreative Studiofotografie,https://www.gratis-in-berlin.de/heute/item/2071765-lichtwerk-kreative-studiofotografie,Weinmeisterstr. 15 10178 Berlin,52.5256955,13.4049509
Musikproduktion,https://www.gratis-in-berlin.de/heute/item/2071641-musikproduktion,Weinmeisterstraße 15 10178 Berlin,52.5256955,13.4049509
"""Die Woll-Lustigen"" - Offene Strick- und Häkelgruppe",https://www.gratis-in-berlin.de/heute/item/2071235-die-woll-lustigen-offene-strick-und-haekelgruppe,Karolinenstr. 19 13507 Berlin,52.5919367,13.2806031
Party - Die Pop-Perlen der Tangoschlampe,https://www.gratis-in-berlin.de/heute/item/2010611-kreativwerkstatt-und-spieleabend,Potsdamer Straße 139 10783 Berlin,52.4967592,13.3618488
Workshops für Alle,https://www.gratis-in-berlin.de/heute/item/2060681-workshops-fuer-alle,Brunnenstrasse 145 10115 Berlin,52.5372159,13.3964436
Fit und Aktiv 50+,https://www.gratis-in-berlin.de/heute/item/2067745-sport-im-park-fit-und-aktiv-50-plus,Müllerstraße 56,52.5538414,13.3464866
Spielend Deutsch lernen mit Kindern (3-6 Jahre) (FZ Fischerinsel),https://www.gratis-in-berlin.de/heute/item/2065573-spielend-deutsch-lernen-mit-kindern-3-6-jahre-fz-fischerinsel,Fischerinsel 3 10179 Berlin,52.5133662,13.4097893
"Erzählcafé im AWO ""Sirius-Treff""",https://www.gratis-in-berlin.de/heute/item/2069978-erzaehlcafe-im-awo-sirius-treff,Siriusstraße 10 12524 Berlin,52.4015191,13.5245049
"""Tischlein deck dich"" im AWO ""Sirius-Treff""",https://www.gratis-in-berlin.de/heute/item/2069977-tischlein-deck-dich-im-awo-sirius-treff,Siriusstraße 10 12524 Berlin,52.4015191,13.5245049
"Queer “Playback-Improtheater”: Verbundenheit spüren, Geschichten teilen und spielen ..",https://www.gratis-in-berlin.de/heute/item/2069132-queer-playback-improtheater-teil-deine-geschichten-andere-spielen-sie,Lützowstr 28 10785 Berlin,52.5042167,13.3628035
Kreativfreitag in der Bezirkszentralbibliothek Tempelhof,https://www.gratis-in-berlin.de/heute/item/2038784-jubilaeumsfest-40-jahre-bezirkszentralbibliothek-tempelhof-schoeneberg,Götzstr. 8,51.5024231,11.9954798
Aktion,https://www.gratis-in-berlin.de/heute/item/2068206-aktion,Weinmeisterstr. 15 10178 Berlin,52.5256955,13.4049509
Sprachcafé,https://www.gratis-in-berlin.de/heute/item/2057938-sprachcafe,Pauline,34.8331835,-81.8723235
„Babysingen“ (nach dem dänischen Erfolgsmodell) auch in Berlin-Kreuzberg! (wieder ab 6.9.24),https://www.gratis-in-berlin.de/heute/item/2056665-babysingen-nach-dem-daenischen-erfolgsmodell-auch-in-berlin-kreuzberg,Zossener Str. 65 10961 Berlin,52.4963881,13.3960189
