title,category,venue,address,date,url,lat,lon
"Make a travel deep of your inside, and don’t forget me to take",Ausstellung/Andere Orte,PalaisPopulaire,"Unter den Linden 5, 10117 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.30005184/,52.5171465,13.3961451
VERTX x SEXYRECS,Musik/Party,Revier Südost,"Schnellerstr. 137, 12439 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/musik+party/1465.2862190289/,52.4596503,13.5055975
Off score,Ausstellung/Museen,Hamburger Bahnhof - Nationalgalerie der Gegenwart,"Invalidenstr. 50-51, 10557 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004900/,52.52844,13.3720386
Syrigana,Ausstellung/Museen,Hamburger Bahnhof - Nationalgalerie der Gegenwart,"Invalidenstr. 50-51, 10557 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004899/,52.52844,13.3720386
Wintermarkt Schloßplatz,Handel/Markt,Humboldt Forum,"Schloßplatz, 10178 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/handel+markt/1465.2855470143/,52.516714,13.4031305
"""Immer wieder muss die Welt neu gesehen werden""",Ausstellung/Museen,Brücke-Museum,"Bussardsteig 9, 14195 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005280/,52.4669327,13.2747539
Comic-Stipendium 2025,Ausstellung/Museen,Museum für Kommunikation,"Leipziger Str. 16, 10117 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005154/,52.5099308,13.3872552
Dioskuren - Der geschenkte Tag,Ausstellung/Museen,Neues Museum,"Bodestr. 1-3, 10178 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005054/,52.520862,13.3982661
Flucht,Ausstellung/Museen,Museum Europäischer Kulturen,"Arnimallee 25, 14195 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004990/,52.455519,13.2926911
Green Planet Berlin. Welt verändern beginnt in deiner Stadt,Ausstellung/Museen,Alice - Museum für Kinder im FEZ,"Str. zum FEZ 2, 12459 Berlin",Sa. 06.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005272/,52.4610303,13.5486588
