title,url,address,description,detailed_date,lat,lon
Europacity-Vibes-Weihnachtsmarkt (täglich),https://www.gratis-in-berlin.de/heute/item/2075994-europacity-vibes-weihnachtsmarkt-taeglich,Europaplatz 1 10557 Berlin,,Sonntag 30.11.2025 bis Sonntag 21.12.2025									   - Anfangszeit: 12:00 Uhr,52.5257435,13.3685757
Retrovision: 10 Jahre Chaussee 36 (Mi - Sa),https://www.gratis-in-berlin.de/heute/item/2074287-retrovision-10-jahre-chaussee-36-mi-sa,Chausseestr.  36 10115 Berlin,,Samstag 20.09.2025 bis Samstag 20.12.2025									   - Anfangszeit: :00 Uhr,52.5332955,13.380659
Lucia Weihnachtsmarkt in der Kulturbrauerei Berlin (täglich),https://www.gratis-in-berlin.de/heute/item/2033408-lucia-weihnachtsmarkt-in-der-kulturbrauerei-berlin-taeglich,Schönhauser Allee 36,,Montag 24.11.2025 bis Montag 22.12.2025									   - Anfangszeit: 15:00 Uhr,52.5394242,13.4136682
Spandauer Winterland (außer 16. & 23.11.),https://www.gratis-in-berlin.de/heute/item/2075923-spandauer-winterland-ausser-16-23-11,Klosterstraße 38 13581 Berlin,,Freitag 14.11.2025 bis Dienstag 23.12.2025									   - Anfangszeit: 14:00 Uhr,52.5334839,13.1996139
Spandauer Weihnachtsmarkt,https://www.gratis-in-berlin.de/heute/item/2001348-spandauer-weihnachtsmarkt,Altstadt Spandau 13597 Berlin Germany,,Montag 24.11.2025 bis Dienstag 23.12.2025									   - Anfangszeit: :00 Uhr,52.5388381,13.2062573
Zusammenleben (einzelne Termine),https://www.gratis-in-berlin.de/heute/item/2074208-zusammenleben-einzelne-termine,Blücherplatz 1 10961 Berlin,,Samstag 27.09.2025 bis Dienstag 30.12.2025									   - Anfangszeit: :00 Uhr,52.4965672,13.3924936
Winterwelt 2025 / 2026 am Potsdamer Platz (täglich),https://www.gratis-in-berlin.de/heute/item/2025264-winterwelt-2024-2025-am-potsdamer-platz-taeglich,Marlene,,Freitag 31.10.2025 bis Mittwoch 31.12.2025									   - Anfangszeit: 11:00 Uhr,-22.8933426,-43.2570551
Weihnachtsmarkt auf dem Breitscheidplatz an Gedächtniskirche (täglich),https://www.gratis-in-berlin.de/heute/item/2012628-weihnachtsmarkt-auf-dem-breitscheidplatz-an-gedaechtniskirche-taeglich,Breitscheidplatz 10789  Berlin Germany,,Montag 24.11.2025 bis Sonntag 04.01.2026									   - Anfangszeit: :00 Uhr,52.5049676,13.335294
Weihnachtsmarkt 'Berliner Weihnachtszeit' am Roten Rathaus / Alexanderplatz mit Eisbahn (außer Heiligabend),https://www.gratis-in-berlin.de/heute/item/2005336-weihnachtsmarkt-berliner-weihnachtszeit-am-roten-rathaus-alexanderplatz-mit-eisbahn-ausser-heiligabend,Berlin Germany,,Montag 24.11.2025 bis Dienstag 30.12.2025									   - Anfangszeit: :00 Uhr,52.5173885,13.3951309
Weihnachtsmarkt am Humboldt Forum & Wintermarkt (außer 24.12.) mit Laser-Shows Di & Do,https://www.gratis-in-berlin.de/heute/item/2070628-weihnachtsmarkt-am-humboldt-forum-wintermarkt-ausser-24-12-mit-laser-shows-di-do,Schlossplatz 10178 Berlin,,Montag 24.11.2025 bis Donnerstag 01.01.2026									   - Anfangszeit: 11:00 Uhr,52.5167106,13.4024811
Kunstausstellung Let's Talk About Food von Tainá Guedes (Mo - Sa),https://www.gratis-in-berlin.de/heute/item/2074645-kunstausstellung-let-s-talk-about-food-von-taina-guedes-mo-sa,Wilmersdorfer Str.  46 10627 Berlin,,Donnerstag 18.09.2025 bis Dienstag 30.12.2025									   - Anfangszeit: 14:00 Uhr,52.5091104,13.3046728
Weihnachtsmarkt am Kadewe Wittenbergplatz (täglich),https://www.gratis-in-berlin.de/heute/item/2075545-weihnachtsmarkt-am-kadewe-wittenbergplatz-taeglich,Berlin,,Montag 24.11.2025 bis Donnerstag 01.01.2026									   - Anfangszeit: 11:00 Uhr,52.5173885,13.3951309
Manatunga. Künstlerische Interventionen von George Nuku (Mi - Mo),https://www.gratis-in-berlin.de/heute/item/2072414-manatunga-kuenstlerische-interventionen-von-george-nuku-mi-mo,"Humboldt Forum, Schloßplatz 10178 Berlin",,Sonntag 18.05.2025 bis Mittwoch 31.12.2025									   - Anfangszeit: 10:30 Uhr,52.5172152,13.4007352
