title,date,time,address,description,url,lat,lon
Geschichte(n) Tansanias,05.01.2026,10:30 Uhr,Humboldt Forum,Das Gebiet des heutigen Tansanias ist geprägt von einer wechselhaften Geschichte. Aufgrund seiner Lage am Indischen Ozean waren die dortigen Gesellschaften schon früh Teil transregionaler Handelsnetzwerke.,https://www.visitberlin.de/de/event/geschichten-tansanias,52.5172152,13.4007352
INTO THE WOODS,19.12.2025,15:00 Uhr,Theater im Delphi,"Das Musical Theatre Berlin bringt Broadway-style Magic in die deutsche Hauptstadt: Into the Woods, das mit dem Tony Award ausgezeichnete Musical von Stephen Sondheim und James Lapine, verwebt die Handlung mehrerer Grimmscher Märchen zu einer scharfen, dunkel…",https://www.visitberlin.de/de/event/woods,52.5519035,13.4311632
🎄 Weihnachten mit Bibi und Tina – Das magische Familienmusical in Berlin! 🌟,19.12.2025,15:30 Uhr,Stage Theater des Westens,"Endlich ist es soweit: Bibi und Tina laden euch zu einem ganz besonderen Weihnachtsabenteuer für die ganze Familie ein! Große und kleine Fans dürfen sich freuen, denn das beliebte Bibi-und-Tina-Weihnachtsmusical kommt exklusiv ins Theater des Westens, eines…",https://www.visitberlin.de/de/event/weihnachten-mit-bibi-und-tina-das-magische-familienmusical-berlin,52.5059047,13.3290059
Cirque Du Soleil ALIZÉ,19.12.2025,16:00 Uhr,Theater am Potsdamer Platz,Die erste europäische Residenz des Cirque du Soleil wurde exklusiv für das Theater am Potsdamer Platz in Berlin geschaffen. Sie lädt zu einer fantastischen Reise ins Unsichtbare ein. Als spektakuläres Showereignis völlig neuer Art ist Cirque du Soleils ALIZÉ…,https://www.visitberlin.de/de/event/cirque-du-soleil-alize,52.5072208,13.3721193
FLYING LIGHTS,19.12.2025,16:00 Uhr,Wintergarten Varieté,Die weltweit gefeierten Tänzer der Flying Steps Company bringen ab Ende August ihre neue Show – wieder eine Kooperation mit dem Wintergarten Varieté Berlin – auf die Bühne. Bis Februar 2026 wird sie in Europas renommiertestem Varietétheater an der Potsdamer…,https://www.visitberlin.de/de/event/flying-lights,52.5021802,13.364582
FRIDA & FRIDA Young Show,19.12.2025,16:00 Uhr,Friedrichstadt-Palast,"Seit November 2025 präsentiert der Friedrichstadt-Palast Berlin seine neue Young Show ""Frida & Frida"" – eine fesselnde Geschichte über Selbstvertrauen, Vorstellungskraft und die Überwindung schwieriger Situationen.",https://www.visitberlin.de/de/event/frida-frida-young-show,52.5239216,13.3888786
Christmas Garden Berlin,05.11.2025,16:20 Uhr,Botanischer Garten Berlin / Eingang Königin-Luise-Platz,Lassen Sie sich verzaubern beim diesjährigen Lichtspektakel Christmas Garden im Botanischen Garten Berlin und erleben Sie unvergessliche Momente mit der ganzen Familie.,https://www.visitberlin.de/de/event/christmas-garden-berlin,52.4554846,13.3022697
Weihnachten im Tierpark Berlin,21.11.2025,16:40 Uhr,Tierpark-Eingang Bärenschaufenster,"Erleben Sie den Zauber aus Licht, Musik und Emotionen mit Weihnachten im Tierpark in Berlin. Der eindrucksvolle Tierpark Berlin verwandelt sich dabei in ein märchenhaftes Wunderland. Genießen Sie ein fantastisches Erlebnis mit der ganzen Familie.",https://www.visitberlin.de/de/event/weihnachten-im-tierpark-berlin,52.4977241,13.5229595
Die Weihnachtsgeschichte Mitspieltheater,19.12.2025,17:00 Uhr,Galli Theater Berlin,Es ist wieder so weit: Weihnachten steht vor der Tür und in unserem Theater wird eine der schönsten Geschichten der Welt gespielt. Wie war es damals eigentlich wirklich? Wer ist Maria und Josef auf ihrer Suche nach einer Bleibe so alles begegnet? Und sind die…,https://www.visitberlin.de/de/event/die-weihnachtsgeschichte-mitspieltheater,52.5258054,13.3943591
Le nozze di Figaro,19.12.2025,17:00 Uhr,Deutsche Oper Berlin,"Ein Dienerpaar wehrt sich gegen seinen Herrn. Figaro und Susanna, Angestellte des Grafen Almaviva, wollen heiraten – doch der Graf versucht, seine Machtposition auszunutzen und Susanna für sich zu gewinnen. Als Susanna seinen wahren Absichten misstraut, fasst…",https://www.visitberlin.de/de/event/le-nozze-di-figaro,52.5121441,13.3083771
PANDAwomen #7: die Türkei,19.12.2025,18:30 Uhr,PANDA platforma,"Das PANDAwomen Festival 2025 schließt mit einer lebendigen Nacht türkischer Stimmen – kuratiert rund um das Zusammenspiel von Klang, Geste, Erinnerung und Neuerfindung. Der Abend beginnt mit einem warmen, intimen Set der Musikerin und Kuratorin Güley Alagöz…",https://www.visitberlin.de/de/event/pandawomen-7-die-tuerkei,52.5398077,13.4133001
