title,category,venue,address,date,url,lat,lon
Merry Madness (Shorts) – Weihnachtsfilmfestival Berlin,Filme,Moviemento,"Kottbusser Damm 22, 10967 Berlin",Fr. 19.12,https://www.tip-berlin.de/event/filme/1465.2866319101/,52.4903342,13.4234006
"Singalong zu Weihnachten mit Bing Crosby, Elvis und Gott",Bühne,Volksbühne,"Rosa-Luxemburg-Platz, 10178 Berlin",Fr. 19.12,https://www.tip-berlin.de/event/buehne/1465.2866045097/,52.5276951,13.4104868
Christmas Garden,Handel/Markt,Botanischer Garten Berlin,"Königin-Luise-Str. 6-8, 14195 Berlin",Fr. 19.12,https://www.tip-berlin.de/event/handel+markt/1465.2852511439/,52.4582459,13.3048516
DT Jung*: Parzival,Bühne/Schauspiel,Deutsches Theater Kammerspiele,"Schumannstr. 13a, 10117 Berlin",Fr. 19.12,https://www.tip-berlin.de/event/buehne+schauspiel/1465.10098777/,52.5243546,13.3819066
8. PANDAwomen Festival: Türkei,Fest-Festival,Panda platforma,"Knaackstr. 97, 10435 Berlin",Fr. 19.12,https://www.tip-berlin.de/event/fest-festival/1465.2866141930/,52.5402922,13.4140783
Auf Nimmerwiedersehen 2025: Der 20. Jahresrückblick der satirischen Vorlesebühne,Bühne/Kabarett,ufaFabrik,"Viktoriastr. 10–18, 12105 Berlin",Fr. 19.12,https://www.tip-berlin.de/event/buehne+kabarett/1465.10097106/,52.4541235,13.3817861
Sperrmüll,Filme,Zeughauskino,"Hinter dem Gießhaus 3, 10117 Berlin",Fr. 19.12,https://www.tip-berlin.de/event/filme/1465.2858746747/,52.5189415,13.3965266
Every Artist Must Take Sides - Resonanzen von Eslanda und Paul Robeson,Ausstellung/Andere Orte,Akademie der Künste Hanseatenweg,"Hanseatenweg 10, 10557 Berlin",Fr. 19.12,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.2853630883/,52.5183272,13.3468408
"Vorletzter Tag: news, Pinsel und eine Lilie",Ausstellung/Galerien,Galerie Eigen + Art,"Auguststr. 26, 10117 Berlin",Fr. 19.12,https://www.tip-berlin.de/event/ausstellung+galerien/1465.2857485991/,52.5269614,13.3971499
Saâdane Afif,Ausstellung/Museen,Hamburger Bahnhof - Nationalgalerie der Gegenwart,"Invalidenstr. 50-51, 10557 Berlin",Fr. 19.12,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004901/,52.52844,13.3720386
