title,url,address,description,detailed_date,lat,lon
Shabby Comedy Earlyshow! Stand up im “Mad Monkey Room” ! Prenzlauer Berg direkt Ubhf Eberswalderstr! 18 Uhr,https://www.gratis-in-berlin.de/heute/item/2053545-shabby-comedy-stand-up-im-comedy-club-mad-monkey-room-prenzlauer-berg-direkt-ubhf-eberswalderstr-18-uhr,Danziger Str 1 10435 Berlin,,"Freitag 02.01.2026									  
											 - Anfangszeit: 18:00 Uhr",52.5411151,13.4127101
"Shabby Comedy Lateshow! Stand up im ""Mad Monkey Room""! In Prenzl Berg direkt Ubhf Eberswalderstr. 22:30 Uhr",https://www.gratis-in-berlin.de/heute/item/2048972-shabby-comedy-lateshow-stand-up-im-mad-monkey-room-in-prenzl-berg-direkt-ubhf-eberswalderstr-22-30-uhr,Danziger Str 1 10435 Berlin,,"Freitag 02.01.2026									  
											 - Anfangszeit: 22:30 Uhr",52.5411151,13.4127101
Weihnachtsmarkt auf dem Breitscheidplatz an Gedächtniskirche (täglich),https://www.gratis-in-berlin.de/heute/item/2012628-weihnachtsmarkt-auf-dem-breitscheidplatz-an-gedaechtniskirche-taeglich,Breitscheidplatz 10789  Berlin Germany,,Montag 24.11.2025 bis Sonntag 04.01.2026									   - Anfangszeit: :00 Uhr,52.5049676,13.335294
"24 Stunden Vorführungen von ""The Clock"" in Neuer Nationalgalerie",https://www.gratis-in-berlin.de/heute/item/2076184-24-stunden-vorfuehrungen-von-the-clock-in-neuer-nationalgalerie,Potsdamer Str. 50 10785  Berlin,,"Freitag 02.01.2026									  
											 - Anfangszeit: 20:00 Uhr",52.5070409,13.3676212
Weihnachtsbeleuchtung um Kudamm mit spektakulären Licht-Motiven,https://www.gratis-in-berlin.de/heute/item/2008297-weihnachtsbeleuchtung-um-kudamm-mit-spektakulaeren-licht-motiven,Berlin Germany,,Montag 24.11.2025 bis Dienstag 06.01.2026									   - Anfangszeit: :00 Uhr,52.5173885,13.3951309
Peppis Jahreseröffnungskonzert: Schick/Kühn/Frenze,https://www.gratis-in-berlin.de/heute/item/2076243-peppis-jahreseroeffnungskonzert-schick-kuehn-frenze,Weichselstrasse 7 12043 Berlin,,"Freitag 02.01.2026									  
											 - Anfangszeit: 20:00 Uhr",52.4842382,13.4330943
Sony World Photography Awards (Di - So),https://www.gratis-in-berlin.de/heute/item/2046662-sony-world-photography-awards-di-so,Wilhelmstraße  140 10963 Berlin Germany,,Freitag 17.10.2025 bis Sonntag 18.01.2026									   - Anfangszeit: 12:00 Uhr,52.500366,13.388343
"Shabby Comedy! Stand up im Comedy Club ""Mad Monkey Room"" ! Prenzlauer Berg direkt Ubhf Eberswalderstr. 20 Uhr",https://www.gratis-in-berlin.de/heute/item/2038241-shabby-comedy-stand-up-im-neuen-mad-monkey-room-prenzlauer-berg-direkt-ubhf-eberswalderstr-20-uhr,Danziger Str 1 10435 Berlin,,"Freitag 02.01.2026									  
											 - Anfangszeit: 20:00 Uhr",52.5410813,13.4128461
"Auch Weihnachten, Silvester, Neujahr besondere Weihnachtsmärkte und Weihnachtsebleuchtungen",https://www.gratis-in-berlin.de/heute/item/2018719-auch-weihnachten-silvester-neujahr-besondere-weihnachtsmaerkte-und-weihnachtsebleuchtungen,Berlin,,Mittwoch 31.12.2025 bis Sonntag 04.01.2026									   - Anfangszeit: :00 Uhr,52.5173885,13.3951309
Mit Maria durch St. Marien – Jungfrau und Gottesmutter im Kirchraum der St. Marienkirche,https://www.gratis-in-berlin.de/heute/item/2075228-mit-maria-durch-st-marien-jungfrau-und-gottesmutter-im-kirchraum-der-st-marienkirche,Karl,,"Freitag 02.01.2026									  
											 - Anfangszeit: 18:00 Uhr",50.0419792,6.8028082
