Event name,Date,Start Time,End Time,Artists,Venue,Venue Address,Venue Latitude,Venue Longitude,Event URL,Number of guests attending
"It's not over! Renate NYE: 86H w  Ben Sims, Lewis Fautzi, Felicie, Stephanie Sykes, Beau Didier",2025-12-31T00:00:00.000,2025-12-31T22:00:00.000,2026-01-04T10:00:00.000,"Ady Toledano, Alex Knapp, Amy Dabbs, Anna Schreit, ATZENPUNK, Beau Didier, Ben Sims, BENZA, Beryll, Bonnie Ford, Burnhard, BUTZ, Moritz Biebl, Camilla Rae, Crille & Tamalt, CSILLA, Daniela Cast, Delano Legito, Delfonic, Diego Krause, DIKKA, Dj handbag, Eliza, Fast (DE), unDs, FELGENTEUFEL666, Félicie, Freigeist, Npoint_O, Frozilla, G.oss, goldie (2), Ida Daugaard, Jana Falcon, Johannes Albert, Josh Reid, Juan Ramos, K49 (GER), Mefteh, Kevin STN, KLEA, Kobzev, Leon Licht, Lewis Fautzi, LüHR, Lukr Range, Marina George, Martin Dacar, MASCHA, Meda-Ava, Minimal Listig, Mislaw, Moteris, Mountak, Mython, Nadine Hennig, NASTYA NVRSLP, Niemand & Keiner, Nikita T, Rafush, Offtrack, Okain, Punani, Red Pig Flower, Remain, RifRaf, ROEGLIN, Rosa Kante, Ryan James Ford, S Ruston, Sept, sleeptwitch, Snooks, Some Chemistry, Stephanie Sykes, súz (DE), TAUREAN (2), TheLoopmasters, DJ Speed, DJ Frequency, Triqi, Immy, UN/POLISHED, Vio PRG",Renate,,52.4973901,13.4653065,/events/2265732,4408
Forever 25 - NYE Edition,2025-12-31T00:00:00.000,2025-12-31T22:00:00.000,2026-01-04T10:00:00.000,"BODYSHIFT, Britta Arnold, Caleesi, Sarah Kreis, Esther Silex, Felix Dickinson, Ipek Ipekcioglu, Just Emma, KALEA, Mira, Raxon, SHA (DE), Thomas Schumacher, 2 Girls 1 Club, Audio Werner, Balthazar Martinez, Borella, Carina Posse, ELIZEN THE EMPEROR, Foehn & Jerome, Franca, Harry Nipples, Hazy Pockets, Ida Daugaard, Josiane, Kon Faber, Melanie Havens, Peter Schumann, Phonk D, RSS Disco, Rudolf C, Shira Kela, Snow (DE), Soundstream, Steve Challier, Tereza, Tomoki Tamura, Hannie Phi, Jennifer Touch, Kasper Bjorke, Panthera Krause, Bruder Jakob, Foolik, Shimon (3), B.A.O., BreakLD, RF (1), miAs, Mira Vána, Emme Moises, Punani, Daniel Dreier, Farry",Kater,,52.5119029,13.4253649,/events/2293506,1290
Four Play,2026-01-02T00:00:00.000,2026-01-02T20:00:00.000,2026-01-03T09:00:00.000,"Annie O, MEEMA, MILA DUCH, Molly Lollen, Caren Callas, Manucho, Multifuse, Trippsy, maniaclina, Mergence, Nunhafa, Skarafan, Heyleydavidson, Acid.Foxy, Kataya",KitKatClub,,52.5112074,13.4169157,/events/2319275,630
twin,2026-01-02T00:00:00.000,2026-01-02T22:00:00.000,2026-01-03T08:00:00.000,"DVS1, Udda, Tina (DE)",OHM,,52.5105954,13.4197888,/events/2314624,375
"ODD w. ALT8, DJ DRECKISCH, KLING&KLANG, Noise Mafia ",2026-01-02T00:00:00.000,2026-01-02T23:00:00.000,2026-01-03T07:00:00.000,"ALT8, Amo (IT), MIMI404, DJ DRECKISCH, KLING&KLANG, Noise Mafia",OST,,52.4970681,13.4650321,/events/2291304,327
"Dzøne with JASMINA ODER, Karim Alkhayat, Al Aslan etc. @LOKSCHUPPEN",2026-01-02T00:00:00.000,2026-01-02T23:00:00.000,2026-01-03T09:00:00.000,"Al Aslan, Opal, Karim Alkhayat, Mattone, Gabrielle (DE), Fae Morgana, WAN.1, YETI (3), cell1, Jordan.nsx, J.A.S, Ayham4real",Lokschuppen Berlin,,52.5071699,13.4510769,/events/2302259,316
Tresor: Still Awake,2026-01-02T00:00:00.000,2026-01-02T23:00:00.000,2026-01-03T11:00:00.000,"Eli Verveine, Huerta, Truly Madly, Viikatory, Bailey Ibbs, Sandwell District, Sarah Wreath, Shaleen",Tresor / Globus,,,,/events/2294297,294
Unterwelt First Rave of the Year,2026-01-02T00:00:00.000,2026-01-02T23:00:00.000,2026-01-03T09:00:00.000,"Epicx, L X S, A.I.F.O.S., Louchi, DJ Paradox, MØABEAT, Milchgeld",M-BIA,,52.5226319,13.4092273,/events/2317359,187
"Happy House Year: Twice&Again (Dom Panik & Richard Faine), MagDita b2b ADAM REC., Subassi",2026-01-02T00:00:00.000,2026-01-02T23:00:00.000,2026-01-03T06:00:00.000,"MagDita, ADAM REC., Subassi",Bulbul Berlin,,52.4993312,13.4242521,/events/2331658,75
KOLLEGIAL pres. by BSTHP - with Pauli Pocket many more ,2026-01-02T00:00:00.000,2026-01-02T22:00:00.000,2026-01-03T09:00:00.000,"AELVA K, justUS, Pauli Pocket, Martin Ka",Ritter Butzke,,52.5030121,13.4081361,/events/2313009,67
RANDOM NOTES presents: Abyond's Playground • FREE before 10PM •,2026-01-02T00:00:00.000,2026-01-02T21:00:00.000,2026-01-03T07:00:00.000,"Aidan, Ali McGlashan, Cardi-O, Matteo Gamba",Crack Bellmer,,52.5075865,13.4547707,/events/2311083,67
Transzendenz 25 * 26,2025-12-31T00:00:00.000,2025-12-31T23:59:00.000,2026-01-04T18:00:00.000,"Anderson (US), Annina, Babxi, BB Deng, CAMILLA, Christian Kowalski, Click | Click, Danielle Nicole, Daniel Steinberg, DJ Life, Daya, Edgar Peng, EllA, Emski, Jan, Farry, Koljah, Lucas Aurel, magic.made.by.r, NAMIMI SENSEI, Neco, Nils Ohrmann, Okain, Red Pig Flower, RifRaf",Golden Gate,,52.5159611,13.4169199,/events/2308271,62
KLUBNACHT X VIBEZZ,2026-01-02T00:00:00.000,2026-01-02T23:00:00.000,2026-01-03T08:00:00.000,Sonse,AVA Club,,52.5029373,13.4473091,/events/2326359,46
Spread Silk On My Heart Vol.2,2026-01-02T00:00:00.000,2026-01-02T22:00:00.000,2026-01-03T07:00:00.000,"Minseok Kim, CHO CORE, YUNJIN",Paloma,,52.5141696,13.4646822,/events/2307997,21
Master & Servant,2026-01-02T00:00:00.000,2026-01-02T22:00:00.000,2026-01-03T06:00:00.000,,Insomnia,,52.4655581,13.3860876,/events/2327413,15
Reload – First Rave of 2026,2026-01-02T00:00:00.000,2026-01-02T23:00:00.000,2026-01-03T10:00:00.000,"Somaphon, Klangpusch, Fabian Fischbach, Beta Basti, Fran-Cee, Dave",Der Weiße Hase,,52.5075831,13.4545322,/events/2331901,16
AGA Babies + Afterhour,2026-01-02T00:00:00.000,2026-01-02T23:59:00.000,2026-01-03T23:59:00.000,"Red Pig Flower, NAMIMI SENSEI, Babxi, Daya Pruna, RifRaf, Farry, TINDRA, Pentti Igor",Golden Gate,,52.5159611,13.4169199,/events/2330829,7
Crave Tapes DJ Night,2026-01-02T00:00:00.000,2026-01-02T22:00:00.000,2026-01-03T05:00:00.000,"Desolate Discotheque, BB Deng",8MM,,52.5312243,13.4115684,/events/2333672,8
Vinyltrottel,2026-01-02T00:00:00.000,2026-01-02T21:00:00.000,2026-01-03T04:00:00.000,,Eschschloraque,,52.5244696,13.4017208,/events/2322317,4
Emma Pea's 'barbeatcue' with Phat Beat,2026-01-02T00:00:00.000,2026-01-02T22:00:00.000,2026-01-03T04:30:00.000,"Hit Beat, Phat Beat",Emma Pea,,52.5074321,13.4547101,/events/2333636,2
Eisdisco mit Marty Mc Fly,2026-01-02T00:00:00.000,2026-01-02T18:00:00.000,2026-01-02T22:00:00.000,,Napoleon Komplex,,52.5035754,13.4585291,/events/2334948,3
BEATHEIM night with Bruno Otranto & Friends,2026-01-02T00:00:00.000,2026-01-02T18:00:00.000,2026-01-03T06:00:00.000,,Minimal Bar,,52.5164827,13.4639097,/events/2303991,1
Moon Night - Friday,2026-01-02T00:00:00.000,2026-01-02T22:00:00.000,2026-01-03T06:00:00.000,,Soda Club,,52.5395232,13.4142448,/events/2320813,1
HangOver Editions with Dj Cool in the Pool,2026-01-02T00:00:00.000,2026-01-02T21:00:00.000,2026-01-03T02:00:00.000,,Madame Claude,,52.4996096,13.4374056,/events/2325917,2
80s 90s feel the beat,2026-01-02T00:00:00.000,2026-01-02T22:00:00.000,2026-01-03T04:30:00.000,,Dunckerclub,,52.546204,13.4237144,/events/2334511,0
Stimmen in Aspik - Die Schlager-Party,2026-01-02T00:00:00.000,2026-01-02T21:00:00.000,2026-01-03T05:00:00.000,,Hafenbar Berlin,,52.4441694,13.6272436,/events/2335633,0
