title,category,venue,address,date,url,lat,lon
Die Neujahrsshow,Bühne/Kabarett,Bar jeder Vernunft,"Schaperstr. 24, 10719 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/buehne+kabarett/1465.2862447870/,52.4986265,13.3287067
Home Again x HEISSS NYE Berlin,Musik/Party,Alte Münze Berlin,"Molkenmarkt 2, 10179 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/musik+party/1465.2849014099/,52.5161294,13.4090769
Weihnachten im Tierpark,Sonstiges,Tierpark Berlin,"Am Tierpark 125, 10319 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/sonstiges/1465.2852859498/,52.5036353,13.5248264
Christmas Garden,Handel/Markt,Botanischer Garten Berlin,"Königin-Luise-Str. 6-8, 14195 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/handel+markt/1465.2852511439/,52.4582459,13.3048516
Hänsel und Gretel letzte Vorstellung in dieser Spielzeit,Bühne/Oper,Deutsche Oper,"Bismarckstr. 35, 10627 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/buehne+oper/1465.10095256/,52.5121441,13.3083771
On Water. WasserWissen in Berlin,Ausstellung/Museen,Humboldt Forum,"Schloßplatz, 10178 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005240/,52.516714,13.4031305
Blank Washing (NYE),Musik/Party,About Blank,"Markgrafendamm 24c, 10245 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/musik+party/1465.2863632282/,52.5024767,13.466302
Power Dance Club NYD 2026 26Hours,Musik/Party,Kreuzwerk,"Lobeckstr. 30-35, 10969 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/musik+party/1465.2863632287/,52.5031489,13.4077249
I'm not here forrrrr…,Ausstellung/Andere Orte,Gropius Bau,"Niederkirchnerstr. 7, 10963 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.30005224/,52.5066209,13.3819472
Konstellationen,Ausstellung/Andere Orte,Gropius Bau,"Niederkirchnerstr. 7, 10963 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.30005223/,52.5066209,13.3819472
"Make a travel deep of your inside, and don’t forget me to take",Ausstellung/Andere Orte,PalaisPopulaire,"Unter den Linden 5, 10117 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.30005184/,52.5171465,13.3961451
It's not over! Renate NYE: 86H,Musik/Party,Salon zur Wilden Renate,"Alt-Stralau 70, 10245 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/musik+party/1465.2860750170/,52.4973901,13.4653065
Off score,Ausstellung/Museen,Hamburger Bahnhof - Nationalgalerie der Gegenwart,"Invalidenstr. 50-51, 10557 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004900/,52.52844,13.3720386
Saâdane Afif,Ausstellung/Museen,Hamburger Bahnhof - Nationalgalerie der Gegenwart,"Invalidenstr. 50-51, 10557 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004901/,52.52844,13.3720386
Syrigana,Ausstellung/Museen,Hamburger Bahnhof - Nationalgalerie der Gegenwart,"Invalidenstr. 50-51, 10557 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004899/,52.52844,13.3720386
Wintermarkt Schloßplatz,Handel/Markt,Humboldt Forum,"Schloßplatz, 10178 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/handel+markt/1465.2855470143/,52.516714,13.4031305
"""Immer wieder muss die Welt neu gesehen werden""",Ausstellung/Museen,Brücke-Museum,"Bussardsteig 9, 14195 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005280/,52.4669327,13.2747539
Dioskuren - Der geschenkte Tag,Ausstellung/Museen,Neues Museum,"Bodestr. 1-3, 10178 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005054/,52.520862,13.3982661
Every Artist Must Take Sides - Resonanzen von Eslanda und Paul Robeson,Ausstellung/Andere Orte,Akademie der Künste Hanseatenweg,"Hanseatenweg 10, 10557 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.2853630883/,52.5183272,13.3468408
Flucht,Ausstellung/Museen,Museum Europäischer Kulturen,"Arnimallee 25, 14195 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004990/,52.455519,13.2926911
Haus Lemke - Die Möbel von Mies van der Rohe und Lilly Reich,Ausstellung/Museen,Kunstgewerbemuseum Tiergarten,"Matthäikirchpl. 4/6, 10785 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005290/,52.5084425,13.3677277
"Heute noch, morgen schon",Ausstellung/Museen,Nikolaikirche,"Nikolaikirchpl., 10178 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005244/,52.5165091,13.4068561
"Im Visier! Lovis Corinth, die Nationalgalerie und die Aktion ""Entartete Kunst""",Ausstellung/Museen,Alte Nationalgalerie,"Bodestraße 1-3, 10178 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004998/,52.520862,13.3982661
Käthe Kollwitz - Stille Kraft,Ausstellung/Museen,Käthe-Kollwitz-Museum,"Spandauer Damm 10, 14059 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.2853615592/,52.5206424,13.2927104
Max Ernst bis Dorothea Tanning. Netzwerke des Surrealismus,Ausstellung/Museen,Neue Nationalgalerie,"Potsdamer Str. 50, 10785 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004952/,52.5066158,13.3671577
Mehr als Bewegung um ihrer selbst willen,Ausstellung/Museen,Kunsthaus Dahlem,"Käuzchensteig 8, 14195 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.2866940267/,52.4663522,13.2742595
Möglichkeiten einer Insel. Denken in Bildern von Gerstenberg bis Scharf,Ausstellung/Museen,Sammlung Scharf-Gerstenberg,"Schloßstr. 70, 14059 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005275/,52.5191183,13.2967062
Natur und deutsche Geschichte. Glaube - Biologie - Macht,Ausstellung/Museen,Deutsches Historisches Museum,"Unter den Linden 2, 10117 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004821/,52.5177477,13.3970225
Raoul Hausmann. Vision. Provokation. Dada.,Ausstellung/Museen,Berlinische Galerie,"Alte Jakobstr. 124-128, 10969 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30004958/,52.5039063,13.3982331
The Clock,Ausstellung/Museen,Neue Nationalgalerie,"Potsdamer Str. 50, 10785 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+museen/1465.30005170/,52.5066158,13.3671577
NYE - Primal Instinct 30H Party,Musik/Party,Haus der Visionäre,"Eichenstr. 4a, 12435 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/musik+party/1465.2862190344/,52.4834778,13.5800458
EastUnBloc,Ausstellung/Andere Orte,nGbK,"Karl-Liebknecht-Str. 11/13, 10178 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.2860296247/,52.5218517,13.4076304
Eve Arnold. Capturing Compassion,Ausstellung/Andere Orte,f³ - freiraum für fotografie,"Prinzessinnenstr. 30, 10969 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.30005296/,52.5015053,13.4141307
Forever 25 – NYE Edition,Musik/Party,Kater Blau,"Holzmarktstr. 25, 10243 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/musik+party/1465.2863632290/,52.5119029,13.4253649
Moyra Davey,Ausstellung/Andere Orte,n.b.k.,"Chausseestr. 128-129, 10115 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.30005286/,52.5277487,13.3862025
OXI NYE – 38 Hours,Musik/Party,Oxi,"Wiesenweg 1–4, 10365 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/musik+party/1465.2863352322/,52.5076121,13.4749435
String Constructions,Ausstellung/Andere Orte,KW Institute for Contemporary Art,"Auguststr. 69, 10117 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.30005212/,52.5271636,13.3948218
UdK Berlin Art Award 2025,Ausstellung/Andere Orte,Kommunale Galerie Berlin,"Hohenzollerndamm 176, 10713 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.2853630889/,52.4894888,13.311966
VINCENT: ZWISCHEN WAHN UND WUNDER,Ausstellung/Andere Orte,khroma l new media art center,"Revaler str. 99, 10245 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.2860459814/,52.5064417,13.4572149
What If: A Change of Perspective,Ausstellung/Andere Orte,Aedes Architecture Forum,"Christinenstr. 18/19, 10115 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.2854418309/,52.5315158,13.410782
Wohnkomplex. Kunst und Leben im Plattenbau,Ausstellung/Andere Orte,Das Minsk Kunsthaus in Potsdam,"Max-Planck-Str. 17, 14473 Potsdam",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.2834161749/,52.3886638,13.0641321
für uns,Ausstellung/Andere Orte,Fotografiska Berlin,"Oranienburger Str. 54, 10117 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/ausstellung+andere_orte/1465.2827184170/,52.5256724,13.3891203
42. Weihnachtsmarkt an der Gedächtniskirche,Handel/Markt,Breitscheidplatz,"Breitscheidplatz, 10789 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/handel+markt/1465.2856327845/,52.5049676,13.335294
Glühwald,Handel/Markt,Uber Platz,"Uber Platz, 10243 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/handel+markt/1465.2854219843/,52.5055537,13.4434752
Spread Silk On My Heart Vol. 2,Musik/Party,Paloma Bar,"Skalitzer Str. 135, 10999 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/musik+party/1465.2866347949/,52.4992586,13.4191407
Transzendenz 25 * 26,Musik/Party,Golden Gate,"Dircksenstr. 77, 10179 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/musik+party/1465.2868990044/,52.5160381,13.4171479
Winterwelt Grünau,Handel/Markt,Strandbad Grünau,"Sportpromenade 9, 12527 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/handel+markt/1465.2854219857/,52.4088769,13.6068546
AGA Babies + Afterhour,Musik/Party,Golden Gate,"Dircksenstr. 77, 10179 Berlin",Fr. 02.01,https://www.tip-berlin.de/event/musik+party/1465.2869037657/,52.5160381,13.4171479
