title,date,time,address,description,url,lat,lon
Cirque Du Soleil ALIZÉ,15.01.2026,19:30 Uhr,Theater am Potsdamer Platz,Die erste europäische Residenz des Cirque du Soleil wurde exklusiv für das Theater am Potsdamer Platz in Berlin geschaffen. Sie lädt zu einer fantastischen Reise ins Unsichtbare ein. Als spektakuläres Showereignis völlig neuer Art ist Cirque du Soleils ALIZÉ…,https://www.visitberlin.de/de/event/cirque-du-soleil-alize,52.5072208,13.3721193
Christmas Garden Berlin,05.11.2025,16:20 Uhr,Botanischer Garten Berlin / Eingang Königin-Luise-Platz,Lassen Sie sich verzaubern beim diesjährigen Lichtspektakel Christmas Garden im Botanischen Garten Berlin und erleben Sie unvergessliche Momente mit der ganzen Familie.,https://www.visitberlin.de/de/event/christmas-garden-berlin,52.4554846,13.3022697
Weihnachten im Tierpark Berlin,21.11.2025,16:40 Uhr,Tierpark-Eingang Bärenschaufenster,"Erleben Sie den Zauber aus Licht, Musik und Emotionen mit Weihnachten im Tierpark in Berlin. Der eindrucksvolle Tierpark Berlin verwandelt sich dabei in ein märchenhaftes Wunderland. Genießen Sie ein fantastisches Erlebnis mit der ganzen Familie.",https://www.visitberlin.de/de/event/weihnachten-im-tierpark-berlin,52.4977241,13.5229595
Zah1de,02.01.2026,18:30 – 		20:30 Uhr,Uber Eats Music Hall,Die TikTok-Sensation und Rap-Newcomerin Zah1de wird am 2. und 3. Januar 2026 das erste Mal in der Uber Eats Music Hall in Berlin auf der großen Live-Bühne stehen!,https://www.visitberlin.de/de/event/zah1de,52.5049039,13.4431471
Don Giovanni/Requiem,18.01.2026,18:00 Uhr,Komische Oper Berlin: Schillertheater - Großer Saal,"Die »Oper aller Opern«, inszeniert von Kirill Serebrennikov im Schillertheater! Nach der Geschichte um Liebe und Verlust in Così fan tutte und der sozialen Gefälle zwischen Dienern und Herren in Le nozze di Figaro vollendet Serebrennikov die Mozart-Da-Ponte…",https://www.visitberlin.de/de/event/don-giovannirequiem,52.5156648,13.3869856
BLINDED by DELIGHT,15.01.2026,19:30 Uhr,Friedrichstadt-Palast,"Die neue Grand Show im Friedrichstadt-Palast ""BLINDED by DELIGHT"" nimmt ihr Publikum mit auf eine bewegende Reise in die Welt der Träume und des Glücks. Über 100 wundervolle Künstlerinnen und Künstlern bieten Ihnen blendende Show-Unterhaltung auf der größten…",https://www.visitberlin.de/de/event/blinded-delight,52.5239216,13.3888786
La Bohème,02.01.2026,19:30 Uhr,Staatsoper Unter den Linden,"Je nach Auftragslage leben der mittellose Dichter Rudolfo und seine drei gewitzten Künstler-Freunde mal in äußerster Not, dann jedoch auch wieder im Überfluss und verfallen in Verschwendungslaune. Als eines Tages ihre Nachbarin Mimì in der Mansarden-Wohnung…",https://www.visitberlin.de/de/event/la-boheme,52.516703,13.3947383
GHOST – NACHRICHT VON SAM - Das Musical,02.01.2026,19:30 Uhr,Stage Bluemax Theater,"Mit Ghost – Nachricht von Sam erobert eine der größten Liebesgeschichten der 90er die Musical-Bühne - eine Geschichte, in der die Liebe sogar den Tod besiegt. Und der Kultfilm mit Whoopi Goldberg und Patrick Swayze, der für immer Spuren hinterlassen hat.",https://www.visitberlin.de/de/event/ghost-nachricht-von-sam-das-musical,52.506926,13.3733397
Kinky Boots - The Musical,02.01.2026,19:30 Uhr,Admiralspalast,Das preisgekrönte Broadway- und West End-Erfolgsmusical KINKY BOOTS erstrahlt in einer brandneuen Produktion und kommt live nach Deutschland!,https://www.visitberlin.de/de/event/kinky-boots-musical,52.5207714,13.3889021
Metropolis live mit Babylon Orchester Berlin,18.01.2026,18:00 Uhr,Babylon,"Wie kein anderer Film repräsentiert METROPOLIS die Blüte des deutschen Stummfilms made in Berlin – Babelsberg. Die Elektrizität brachte die Dinge in Bewegung, brachte die Nächte und den Asphalt zum Leuchten.",https://www.visitberlin.de/de/event/metropolis-live-mit-babylon-orchester-berlin,52.5258989,13.4114358
Carmina Burana & Beethovens 9. Symphonie - Tschechische Symphoniker Prag & Coro,02.01.2026,20:00 Uhr,Konzerthaus Berlin,In diesem Konzert treffen zwei monumentale Werke der Musikgeschichte aufeinander: Beethovens 9. Sinfonie und Carl Orffs Carmina Burana. Die Tschechischen Symphoniker Prag gastieren im Januar erneut in Berlin – gemeinsam mit dem Coro di Praga und drei…,https://www.visitberlin.de/de/event/carmina-burana-beethovens-9-symphonie-tschechische-symphoniker-prag-coro,52.5135418,13.3918617
