title,date,time,address,description,url,lat,lon
Café Alexander. Frische. Qualität und Vielfalt im Humboldt Forum in Berlin,30.01.2026,10:00 Uhr,Humboldt Forum: Schlüterhof,"Das Café Alexander ist der perfekte Ort für Ihre kurze Pause nach einem Museumsbesuch. Im Café erwartet Sie eine Auswahl an frischen Backwaren, Frühstücksangeboten sowie warmen und kalten Lunch-Gerichten in einer hellen, modernen Umgebung im Schlüterhof des…",https://www.visitberlin.de/de/event/cafe-alexander-frische-qualitaet-und-vielfalt-im-humboldt-forum-berlin,52.5172152,13.4007352
Ansichtssache(n),30.01.2026,10:30 Uhr,Humboldt Forum - Ethnologisches Museum,In den letzten Jahren sind ethnologische Sammlungen in europäischen Museen stark in die Kritik geraten. Dem stellt sich auch das Humboldt Forum in Berlin.,https://www.visitberlin.de/de/event/ansichtssachen,52.5172152,13.4007352
Beziehungsweise Familie,03.10.2025,10:30 Uhr,Humboldt Forum – Sonderausstellungsflächen,Familie: (Fast) jeder Mensch hat eine und jede ist doch anders! Aber was hält uns als Familie zusammen? Und wer hat sich das eigentlich ausgedacht?,https://www.visitberlin.de/de/event/beziehungsweise-familie,52.5172152,13.4007352
Feliciano Lana. Die Geschichte der Weißen,30.01.2026,10:30 Uhr,Humboldt Forum - Museum für Asiatische Kunst,"Die Aquarelle des 2020 verstorbenen, Indigenen Künstlers Feliciano Lana aus Brasilien beschäftigen sich mit der Geschichte des Kontakts zwischen Indigenen und Weißen am Oberen Rio Negro.",https://www.visitberlin.de/de/event/feliciano-lana-die-geschichte-der-weissen-0,52.5172152,13.4007352
"Freiheit, Gleichheit, Solidarność. Polnische Standpunkte in Berlin",15.01.2026,10:30 Uhr,"Humboldt Forum: Berlin Ausstellung, 1. OG","Seit Jahrhunderten leben Pol:innen in Berlin und prägen die Stadt kulturell, sozial, politisch, und wirtschaftlich. Die polnische Grenze liegt nicht mal 100 km von Berlin entfernt. Aber die engen Verflechtungen zum Nachbarland werden in Berlin an mancher…",https://www.visitberlin.de/de/event/freiheit-gleichheit-solidarnosc-polnische-standpunkte-berlin,52.5172152,13.4007352
Schlosskeller im Humboldt Forum. Geschichte des Ortes,20.07.2021,10:30 Uhr,Humboldt Forum,Im Schlosskeller finden sich die ältesten Objekte zur Geschichte des Ortes. Die Ausstellung im einzig erhaltenen Bereich des Berliner Schlosses bietet einen Rundgang vom Mittelalter bis in die Gegenwart.,https://www.visitberlin.de/de/event/schlosskeller-im-humboldt-forum-geschichte-des-ortes,52.5172152,13.4007352
Sich verwandt machen,30.01.2026,10:30 Uhr,Humboldt Forum: Museum für Asiatische Kunst,"Die Ausstellung Making Kin/Sich verwandt machen versammelt Positionen von Künstlerinnen aus Kanada, Südkorea, Nigeria, Ghana, Myanmar, Deutschland, Estland, Usbekistan und den USA.",https://www.visitberlin.de/de/event/sich-verwandt-machen,52.5172152,13.4007352
Skulpturensaal. Geschichte des Ortes,20.07.2021,10:30 Uhr,Humboldt Forum: Schlüterhof,"Erleben Sie die Original-Skulpturen der historischen Schlossfassade aus nächster Nähe: Der Skulpturensaal, ein Raumentwurf des italienischen Architekten Franco Stella, entspricht in seinen Maßen dem barocken Großen Treppenhaus des Berliner Schlosses, das sich…",https://www.visitberlin.de/de/event/skulpturensaal-geschichte-des-ortes,52.5172152,13.4007352
Systemrelevant. Frauen in Herrscherfamilien,30.01.2026,10:30 Uhr,Humboldt Forum,Vierzehn monumentale Statuen der Brandenburger Kurfürsten aus dem 17. Jahrhundert sind Teil der Dauerausstellung zur Geschichte des Ortes.,https://www.visitberlin.de/de/event/systemrelevant-frauen-herrscherfamilien,52.5172152,13.4007352
Videopanorama. Geschichte des Ortes,28.02.2026,10:30 Uhr,Humboldt Forum: Schlüterhof,"Begeben Sie sich im Humboldt Forum in Berlin auf eine visuelle Zeitreise durch acht Jahrhunderte. Eine Collage aus Bildern und Filmen zeigt die Gebäude, die einst hier standen, ihre Nutzungen und wichtige Ereignisse, die hier stattfanden. Sie macht deutlich…",https://www.visitberlin.de/de/event/videopanorama-geschichte-des-ortes,52.5172152,13.4007352
