title,url,address,description,detailed_date,lat,lon
Berliner Wintertraum  (täglich außer Heiligabend),https://www.gratis-in-berlin.de/heute/item/2075537-berliner-wintertraum-taeglich-ausser-heiligabend,Schnellerstraße 145 12439 Berlin,,Freitag 07.11.2025 bis Sonntag 28.12.2025,52.4645931,13.4982029
Stadionsingen bzw. Weihnachtssingen - mehr Ideen als 'nur' das bei Union Berlin in der Alten Försterei,https://www.gratis-in-berlin.de/heute/item/2018391-stadionsingen-bzw-weihnachtssingen-mehr-ideen-als-nur-das-bei-union-berlin-in-der-alten-foersterei,An der Wuhlheide  263 12555 Berlin Germany,,"Dienstag 23.12.2025									  
											 - Anfangszeit: 19:00 Uhr",52.4569741,13.5680789
LGBT Winterdays & Christmas Avenue in Schöneberg (täglich außer 23.11.),https://www.gratis-in-berlin.de/heute/item/2075848-lgbt-winterdays-christmas-avenue-in-schoeneberg-taeglich-ausser-23-11,Nollendorfplatz 10787 Berlin,,Dienstag 04.11.2025 bis Dienstag 23.12.2025									   - Anfangszeit: :00 Uhr,52.4995972,13.3537297
KI zum Anfassen im Technikmuseum (Di - So),https://www.gratis-in-berlin.de/heute/item/2071060-ki-zum-anfassen-im-technikmuseum-di-so,Möckernstraße 26 10963 Berlin,,Samstag 01.02.2025 bis Dienstag 23.12.2025									   - Anfangszeit: 10:00 Uhr,52.4981416,13.3792632
Spandauer Winterland (außer 16. & 23.11.),https://www.gratis-in-berlin.de/heute/item/2075923-spandauer-winterland-ausser-16-23-11,Klosterstraße 38 13581 Berlin,,Freitag 14.11.2025 bis Dienstag 23.12.2025									   - Anfangszeit: 14:00 Uhr,52.5334839,13.1996139
Love Life English stand up comedy! 20:20 KIKISOL Wedding,https://www.gratis-in-berlin.de/heute/item/2066669-love-life-new-year-s-party-extravaganza,Reinickendorfer Straße 96 13347 Berlin,,"Dienstag 23.12.2025									  
											 - Anfangszeit: 20:15 Uhr",52.5475885,13.3683614
Stranger Things Weihnachtsmarkt (täglich außer 24.-26.12.),https://www.gratis-in-berlin.de/heute/item/2076257-stranger-things-weihnachtsmarkt-taeglich-ausser-24-26-12,229 Kürfurstendamm  10719  Berlin,,Donnerstag 04.12.2025 bis Dienstag 30.12.2025									   - Anfangszeit: :00 Uhr,52.5036757,13.3322146
Spandauer Weihnachtsmarkt,https://www.gratis-in-berlin.de/heute/item/2001348-spandauer-weihnachtsmarkt,Altstadt Spandau 13597 Berlin Germany,,Montag 24.11.2025 bis Dienstag 23.12.2025									   - Anfangszeit: :00 Uhr,52.5388381,13.2062573
"""Das Junge Rheinland"": Künstlergruppe der 20er Jahre.",https://www.gratis-in-berlin.de/heute/item/2075725-das-junge-rheinland-kuenstlergruppe-der-20er-jahre,Fasanenstr. 29 12205 Berlin,,Mittwoch 10.12.2025 bis Samstag 27.12.2025,52.5008909,13.3269253
Weihnachtsmarkt Schloss Charlottenburg (außer 24.12.),https://www.gratis-in-berlin.de/heute/item/2013073-weihnachtsmarkt-schloss-charlottenburg-ausser-24-12,Spandauer Damm  10,,Montag 24.11.2025 bis Sonntag 28.12.2025									   - Anfangszeit: :00 Uhr,52.5205554,13.2963595
"""Die Feuerzangenbowle"" mit Heinz Rühmann im Nikolaiviertel beim ""Winter-Film-Fest"" schauen (tgl. außer Heiligabend)",https://www.gratis-in-berlin.de/heute/item/2034412-die-feuerzangenbowle-mit-heinz-ruehmann-im-nikolaiviertel-beim-winter-film-fest-schauen-tgl-ausser-heiligabend,Nikolaiviertel Poststraße 7 10178 Berlin,,Freitag 14.11.2025 bis Sonntag 28.12.2025									   - Anfangszeit: 12:00 Uhr,52.5168212,13.4061613
MAP 2025 – Arrival? Bremen – Hanoi – Berlin (Dienstag – Samstag: 11 – 19 Uhr),https://www.gratis-in-berlin.de/heute/item/2075903-map-2025-arrival-bremen-hanoi-berlin,Turmstraße 75 10551 Berlin,,Samstag 15.11.2025 bis Dienstag 23.12.2025									   - Anfangszeit: 11:00 Uhr,52.5264293,13.33386
Weihnachts-Rummel Winterzauber an der Landsberger Allee (täglich außer 23.11. & 24.12.),https://www.gratis-in-berlin.de/heute/item/2047112-weihnachts-rummel-winterzauber-an-der-landsberger-allee-taeglich-ausser-23-11-24-12,Landsberger Allee 364 10365 Berlin,,Samstag 01.11.2025 bis Sonntag 28.12.2025									   - Anfangszeit: :00 Uhr,52.5338376,13.514577
Historischer Weihnachtsmarkt Potsdam - Blauer Lichterglanz (täglich außer Heiligabend),https://www.gratis-in-berlin.de/heute/item/2008243-historischer-weihnachtsmarkt-potsdam-blauer-lichterglanz-taeglich-ausser-heiligabend,Brandenburgische Str. 14467 Potsdam Germany,,Montag 24.11.2025 bis Sonntag 28.12.2025									   - Anfangszeit: 11:00 Uhr,52.4003618,13.063534
Zusammenleben (einzelne Termine),https://www.gratis-in-berlin.de/heute/item/2074208-zusammenleben-einzelne-termine,Blücherplatz 1 10961 Berlin,,Samstag 27.09.2025 bis Dienstag 30.12.2025									   - Anfangszeit: :00 Uhr,52.4965672,13.3924936
Weihnachtsmarkt Winterquartier Napoleon Komplex (täglich außer 24. & 25.12.),https://www.gratis-in-berlin.de/heute/item/2076133-weihnachtsmarkt-winterquartier-napoleon-komplex-taeglich-ausser-24-25-12,Modersohnstraße 49a 10245 Berlin,,Samstag 29.11.2025 bis Mittwoch 31.12.2025									   - Anfangszeit: :00 Uhr,52.5043491,13.4577378
Weihnachtsmarkt am Kadewe Wittenbergplatz (täglich),https://www.gratis-in-berlin.de/heute/item/2075545-weihnachtsmarkt-am-kadewe-wittenbergplatz-taeglich,Berlin,,Montag 24.11.2025 bis Donnerstag 01.01.2026									   - Anfangszeit: 11:00 Uhr,52.5173885,13.3951309
Weihnachtsmarkt auf dem Breitscheidplatz an Gedächtniskirche (täglich),https://www.gratis-in-berlin.de/heute/item/2012628-weihnachtsmarkt-auf-dem-breitscheidplatz-an-gedaechtniskirche-taeglich,Breitscheidplatz 10789  Berlin Germany,,Montag 24.11.2025 bis Sonntag 04.01.2026									   - Anfangszeit: :00 Uhr,52.5049676,13.335294
Manatunga. Künstlerische Interventionen von George Nuku (Mi - Mo),https://www.gratis-in-berlin.de/heute/item/2072414-manatunga-kuenstlerische-interventionen-von-george-nuku-mi-mo,"Humboldt Forum, Schloßplatz 10178 Berlin",,Sonntag 18.05.2025 bis Mittwoch 31.12.2025									   - Anfangszeit: 10:30 Uhr,52.5172152,13.4007352
Weihnachtsmarkt am Humboldt Forum & Wintermarkt (außer 24.12.) mit Laser-Shows Di & Do,https://www.gratis-in-berlin.de/heute/item/2070628-weihnachtsmarkt-am-humboldt-forum-wintermarkt-ausser-24-12-mit-laser-shows-di-do,Schlossplatz 10178 Berlin,,Montag 24.11.2025 bis Donnerstag 01.01.2026									   - Anfangszeit: 11:00 Uhr,52.5167106,13.4024811
Winterwelt 2025 / 2026 am Potsdamer Platz (täglich),https://www.gratis-in-berlin.de/heute/item/2025264-winterwelt-2024-2025-am-potsdamer-platz-taeglich,Marlene,,Freitag 31.10.2025 bis Mittwoch 31.12.2025									   - Anfangszeit: 11:00 Uhr,-22.8933426,-43.2570551
"Vera Mercer - Life in Focus ZAK Spandau Fr-Mi 10-17, Do 13-20 Uhr",https://www.gratis-in-berlin.de/heute/item/2074744-vera-mercer-life-in-focus-zak-spandau-fr-mi-10-17-do-13-20-uhr,Am Juliusturm  64 13599 Berlin,,Freitag 19.09.2025 bis Sonntag 11.01.2026									   - Anfangszeit: 19:00 Uhr,52.5410344,13.2127443
Fotoausstellung „Haut der Stadt“ Amtsgericht Tiergarten(Mo-Fr),https://www.gratis-in-berlin.de/heute/item/2076286-fotoausstellung-haut-der-stadt-amtsgericht-tiergarten,Kirchstr 6 10557 Berlin,,Montag 08.12.2025 bis Sonntag 08.02.2026									   - Anfangszeit: 10:18 Uhr,52.5233656,13.3488922
Sony World Photography Awards (Di - So),https://www.gratis-in-berlin.de/heute/item/2046662-sony-world-photography-awards-di-so,Wilhelmstraße  140 10963 Berlin Germany,,Freitag 17.10.2025 bis Sonntag 18.01.2026									   - Anfangszeit: 12:00 Uhr,52.500366,13.388343
Hoffnung أﻣل - Einzelausstellung der Künstlerin Jamila Barakat,https://www.gratis-in-berlin.de/heute/item/2075988-hoffnung-einzelausstellung-der-kuenstlerin-jamila-barakat,Frankfurter Tor 1 10243 Berlin,,Donnerstag 04.12.2025 bis Sonntag 01.02.2026									   - Anfangszeit: 14:00 Uhr,52.5165034,13.4527335
Leo Lights: Weihnachtsbeleuchtung am Leopoldplatz,https://www.gratis-in-berlin.de/heute/item/2076328-leo-lights-weihnachtsbeleuchtung-am-leopoldplatz,Leopoldplatz 13353 Berlin,,Sonntag 30.11.2025 bis Freitag 09.01.2026									   - Anfangszeit: 16:00 Uhr,52.5463833,13.3591672
Sonderausstellung Crossfire von Jac Carley (Do - So),https://www.gratis-in-berlin.de/heute/item/2075969-sonderausstellung-crossfire-von-jac-carley-do-so,Schloßstraße 69 b 14059 Berlin,,Freitag 21.11.2025 bis Sonntag 08.02.2026									   - Anfangszeit: 14:00 Uhr,52.519077,13.297931
Relations in Place | Ausstellung im Bärenzwinger (täglich),https://www.gratis-in-berlin.de/heute/item/2075658-relations-in-place-ausstellung-im-baerenzwinger-taeglich,Rungestraße  30 10179 Berlin,,Montag 17.11.2025 bis Sonntag 25.01.2026									   - Anfangszeit: :00 Uhr,52.5125985,13.4159358
„Auf die Plätze“ Motive aus den Stadtteilen – künstlerisch gestaltet von Potsdamer Kreativen,https://www.gratis-in-berlin.de/heute/item/2075429-auf-die-plaetze-motive-aus-den-stadtteilen-kuenstlerisch-gestaltet-von-potsdamer-kreativen,Pappelallee 4 14469 Potsdam,,Freitag 07.11.2025 bis Freitag 30.01.2026									   - Anfangszeit: 09:00 Uhr,52.4105205,13.0521789
