Event name,Date,Start Time,End Time,Artists,Venue,Venue Address,Venue Latitude,Venue Longitude,Event URL,Number of guests attending
encore.une.fois / TUESDAY TECHNO RAVE,2025-12-23T00:00:00.000,2025-12-23T23:00:00.000,2025-12-24T09:00:00.000,"Mohajer, Inverse Element, New Frames, LUISELLE",OXI,,52.5076121,13.4749435,/events/2310491,445
Smash & HART ◢◤ Tuesday Rave [free entry until midnight*],2025-12-23T00:00:00.000,2025-12-23T23:00:00.000,2025-12-24T08:00:00.000,EGE363,Der Weiße Hase,,52.5075831,13.4545322,/events/2281844,115
THE UNKNOWN (𝘍𝘙𝘌𝘌 𝘌𝘕𝘛𝘙𝘠 𝘜𝘕𝘛𝘐𝘓 22:00 ⟶ 𝘋𝘖𝘕𝘈𝘛𝘐𝘖𝘕-𝘉𝘈𝘚𝘌𝘋 𝘈𝘍𝘛𝘌𝘙),2025-12-23T00:00:00.000,2025-12-23T19:00:00.000,2025-12-24T02:00:00.000,Mario Worgall,Süss War Gestern,,52.5086027,13.4610994,/events/2309535,26
Open Decks & Tischtennis,2025-12-23T00:00:00.000,2025-12-23T18:00:00.000,2025-12-24T04:00:00.000,,Humboldthain Club,,52.5441625,13.3787124,/events/2287616,12
Raumvier Xmas leftovers,2025-12-23T00:00:00.000,2025-12-23T22:00:00.000,2025-12-24T10:00:00.000,,TBA - see the poster,,,,/events/2325017,11
Sky-Bar Warmup - HipHop Oldschool Funk,2025-12-23T00:00:00.000,2025-12-23T19:00:00.000,2025-12-24T01:00:00.000,,Solar,,52.5043141,13.3836872,/events/2309023,5
Transmission Fields,2025-12-18T00:00:00.000,2025-12-18T00:00:00.000,2025-12-27T15:30:00.000,,PR55,,52.5173885,13.3951309,/events/2329901,3
Double release show: Flynotes + The Birch,2025-12-23T00:00:00.000,2025-12-23T20:00:00.000,2025-12-23T23:00:00.000,,Schokoladen,,52.5297369,13.3971786,/events/2331769,2
