title,date,time,address,description,url,lat,lon
Hänsel und Gretel,23.12.2025,14:00 Uhr,Deutsche Oper Berlin,Hänsel und Gretel an der Deutschen Oper Berlin: Die märchenhafte Oper von Humperdinck für Kinder ab 8 Jahren – mit zauberhafter Musik und fantasievoller Inszenierung von Andreas Homoki.,https://www.visitberlin.de/de/event/haensel-und-gretel-1,52.5121441,13.3083771
SCHNEEWITTCHEN und der Zauberspiegel,23.12.2025,16:00 Uhr,Wintergarten Varieté,Auch in 2025 bildet die festliche Premiere von ZIMT & ZAUBER im Wintergarten Varieté den Abschluss der 36. Berliner Märchentage.,https://www.visitberlin.de/de/event/schneewittchen-und-der-zauberspiegel,52.5021802,13.364582
Christmas Garden Berlin,05.11.2025,16:20 Uhr,Botanischer Garten Berlin / Eingang Königin-Luise-Platz,Lassen Sie sich verzaubern beim diesjährigen Lichtspektakel Christmas Garden im Botanischen Garten Berlin und erleben Sie unvergessliche Momente mit der ganzen Familie.,https://www.visitberlin.de/de/event/christmas-garden-berlin,52.4554846,13.3022697
Weihnachten im Tierpark Berlin,21.11.2025,16:40 Uhr,Tierpark-Eingang Bärenschaufenster,"Erleben Sie den Zauber aus Licht, Musik und Emotionen mit Weihnachten im Tierpark in Berlin. Der eindrucksvolle Tierpark Berlin verwandelt sich dabei in ein märchenhaftes Wunderland. Genießen Sie ein fantastisches Erlebnis mit der ganzen Familie.",https://www.visitberlin.de/de/event/weihnachten-im-tierpark-berlin,52.4977241,13.5229595
Weihnachten mit der Bigband Jazzrausch,23.12.2025,19:00 Uhr,Philharmonie Berlin,"Die Jazzrausch Bigband bringt auch 2025 ihr beliebtes Weihnachtsprogramm auf die Bühne, in dem sie traditionelle Weihnachtslieder in humorvollen und virtuosen Bigband-Arrangements neu interpretiert.",https://www.visitberlin.de/de/event/weihnachten-mit-der-bigband-jazzrausch,52.5099888,13.3696059
BLINDED by DELIGHT,23.12.2025,19:30 Uhr,Friedrichstadt-Palast,"Die neue Grand Show im Friedrichstadt-Palast ""BLINDED by DELIGHT"" nimmt ihr Publikum mit auf eine bewegende Reise in die Welt der Träume und des Glücks. Über 100 wundervolle Künstlerinnen und Künstlern bieten Ihnen blendende Show-Unterhaltung auf der größten…",https://www.visitberlin.de/de/event/blinded-delight,52.5239216,13.3888786
In Frisco ist der Teufel los,23.12.2025,19:30 Uhr,Komische Oper Berlin: Schillertheater - Großer Saal,Nach dem großen Erfolg von Gerd Natschinskis DDR-Operette Messeschlager Gisela widmet sich die Komische Oper Berlin einem weiteren Schlager des »Heiteren Musiktheaters«.,https://www.visitberlin.de/de/event/frisco-ist-der-teufel-los,52.5156648,13.3869856
Kinky Boots - The Musical,23.12.2025,19:30 Uhr,Admiralspalast,Das preisgekrönte Broadway- und West End-Erfolgsmusical KINKY BOOTS erstrahlt in einer brandneuen Produktion und kommt live nach Deutschland!,https://www.visitberlin.de/de/event/kinky-boots-musical,52.5207714,13.3889021
Schwanensee,23.12.2025,19:30 Uhr,Staatsoper Unter den Linden,"Mit den Mitteln des klassischen Tanzes erzählt Schwanensee die Geschichte von Prinz Siegfried und seiner Liebe zu der verzauberten Prinzessin Odette, die in Schwanengestalt gefangen ist. Bald Schwan bald Mensch ist es ihre Bestimmung, Gegenstand der Phantasien…",https://www.visitberlin.de/de/event/schwanensee,52.516703,13.3947383
Ass-Dur - Süßer die Brüder nie klingen,23.12.2025,20:00 Uhr,Tipi am Kanzleramt,"Wenn in Berlin die ersten Lichterketten blinken, die Gänse noch ahnungslos durchs Regierungsviertel watscheln und es überall langsam nach Glühwein und Spekulatius duftet – dann ist es soweit: Ass-Dur feiert Weihnachten. Und zwar so aufregend wie noch nie!",https://www.visitberlin.de/de/event/ass-dur-suesser-die-brueder-nie-klingen,52.5183931,13.3671639
Eine Weihnachtsgeschichte von Charles Dickens,23.12.2025,20:00 Uhr,Theater am Frankfurter Tor,"Geiz, Hartherzigkeit und Arroganz sind die Eigenschaften, die Mister Srooge, dem Firmeninhaber in der Finanzbranche, nachgesagt werden. Sein Angestellter wird ausgebeutet, Familie existiert für Srooge nicht, für seine ärmeren Londoner Mitbürger hat er nur…",https://www.visitberlin.de/de/event/eine-weihnachtsgeschichte-von-charles-dickens,52.5166374,13.4508762
Irish Christmas - Woodwind & Steel,23.12.2025,20:00 Uhr,Schlosspark Theater,"Irish Christmas - Woodwind & Steel Die fröhlich festliche Weihnachtsshow Music, Fun & Stories von der grünen Insel Feiern Sie Weihnachten auf die irische Art!",https://www.visitberlin.de/de/event/irish-christmas-woodwind-steel,52.4548978,13.3175925
