Venue, Venue Latitude,Venue Longitude
MARMORBAR, 52.49735535735993, 13.44931673273376
"migas, a listening bar", 52.54385181361914, 13.367706409457565
Berghain | Panorama Bar | Säule, 52.51135634395834, 13.443214458616849
Jonny Knüppel, 52.54238113461423, 13.433035865354602
Mena Berlin, 52.49942960994064, 13.424252820139717
Lokschuppen, 52.50751488541, 13.451527594134783
Tresor / Globus, 52.51092896101747, 13.419945792284695
