Event name,Date,Start Time,End Time,Artists,Venue,Venue Address,Venue Latitude,Venue Longitude,Event URL,Number of guests attending
Tresor meets scheißmukke,2025-12-19T00:00:00.000,2025-12-19T23:00:00.000,2025-12-20T08:00:00.000,"AKOMPANIAMENT, degen, Zarling, Dreimal T, Madalba, Neil Landstrumm, eveava",Tresor / Globus,,,,/events/2294830,118
PUDDING ∞ LETZTE WIESE,2025-12-19T00:00:00.000,2025-12-19T23:59:00.000,2025-12-20T08:00:00.000,"Anne-Lu, Bekka, Droughtwerk, Esvogt, Flotte Motte, Reka Zalan",://about blank,,52.5024767,13.466302,/events/2297402,78
"Foggy with Xterea [5 gate temple] Live, PÖ [Nyege Nyege] Live , Catfish, Lily Haz, WD40",2025-12-19T00:00:00.000,2025-12-19T21:00:00.000,2025-12-20T05:00:00.000,"Xterea, WD40, Lily Haz",Lark,,52.5130237,13.4227766,/events/2311899,83
PSYCHO College,2025-12-19T00:00:00.000,2025-12-19T20:00:00.000,2025-12-20T07:00:00.000,,KitKatClub,,52.5112074,13.4169157,/events/2312571,71
FELD AFTER PARTY,2025-12-19T00:00:00.000,2025-12-19T21:00:00.000,2025-12-20T08:00:00.000,"Vanaenae, Heimlich Maneuver, donna silverstein, sleeptwitch, Goody (1), Pierre Vice",TBA - Secret Location - Neukölln,,,,/events/2312595,67
All My Friends Vol.3,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-20T06:00:00.000,"Levi Nix, rauch, Beth Alana, DJ Betska",Fitzroy,,52.5130757,13.4228651,/events/2291887,69
Kater x Gutzeit,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-20T10:00:00.000,"Lily Ackerman, Mankind, Yochanan, Ellosophy, Sarah Wild, Tayir",Kater,,52.5119029,13.4253649,/events/2305690,72
KLOUD,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-20T09:00:00.000,"KLOUD, DJ Jordan, Grace Thompson, Toni Strauss, Maze Kashi",Ritter Butzke,,52.5030121,13.4081361,/events/2276887,57
"Nice Tries invites: Concentio, DJ Sanni, Ena, Eileeni",2025-12-19T00:00:00.000,2025-12-19T23:00:00.000,2025-12-20T06:00:00.000,"Concentio, DJ Sanni, Ena (DE)",Bulbul Berlin,,52.4993312,13.4242521,/events/2307390,53
ITALO DISCO,2025-12-19T00:00:00.000,2025-12-19T23:00:00.000,2025-12-20T07:00:00.000,"Linda shiro, Sam Swanx, Planetary Echoes, Roberta Deflorio",AVA Club,,52.5029373,13.4473091,/events/2304709,55
"irsh Clubnight 009 feat. Artur M Puga [Live], Ziúr, Rama, ZULI",2025-12-19T00:00:00.000,2025-12-19T23:59:00.000,2025-12-20T06:00:00.000,"Artur M Puga, Ziúr, Rama (2), ZULI",OHM,,52.5105954,13.4197888,/events/2308278,41
"KRAWALLZONE #2 w/ Silvano Scarpetta, Dennis Wehling | AK 18 €",2025-12-19T00:00:00.000,2025-12-19T23:00:00.000,2025-12-20T07:00:00.000,"eliXenia, SEELE (DE)",Void Hall,,,,/events/2265926,39
STALACTITES with Esposito & Marie Moon,2025-12-19T00:00:00.000,2025-12-19T23:30:00.000,2025-12-20T08:00:00.000,"Esposito, MARIE.MOON, Silent G",Paloma,,52.5141696,13.4646822,/events/2279462,35
"Enter the Void #74 with Sagrivox, Dirty Plates, Anton Quasi, Cain. Xitual, Ektoside, IamPasso",2025-12-19T00:00:00.000,2025-12-19T23:00:00.000,2025-12-20T07:00:00.000,"Sagrivox, Dirty Plates (2), Anton Quasi, CainDNB, Ektoside",Void Club,,,,/events/2317332,30
Durchnachten,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-20T07:00:00.000,"ELA E., Bonzo (2), HØLLE (2), Krash Cora, HOCK (DE), Susi & Proll",Humboldthain Club,,52.5441625,13.3787124,/events/2287233,29
Maximum Joy,2025-12-19T00:00:00.000,2025-12-19T22:30:00.000,2025-12-20T08:00:00.000,"ābnamā, Maneta, Luigi Di Venere",Sameheads,,52.4778422,13.4394686,/events/2301655,32
FUSE x HOUSE QUEENS,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-20T03:00:00.000,"Léontine, MARIA_MARIA, Mitsuko, Miss Kitchen",Golden Flamingo,,,,/events/2313299,26
Winterwolfsruhland,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-20T07:00:00.000,,Jonny Knüppel,,,,/events/2326329,28
BOTA,2025-12-19T00:00:00.000,2025-12-19T23:00:00.000,2025-12-20T09:00:00.000,"HEMATOMA, Kasja, Immy, Vaccaro",TBA - Secret Location,,,,/events/2308882,27
Lea Occhi,2025-12-19T00:00:00.000,2025-12-19T21:00:00.000,2025-12-20T06:00:00.000,Lea Occhi,Pastiche,,,,/events/2320960,22
Partisan presents: Da Christmas Cracker & Instore,2025-12-19T00:00:00.000,2025-12-19T16:00:00.000,2025-12-20T10:00:00.000,"Astral Travel, Carl H, DRAMA SOURCE ARTIFACTS, Jos, session 4000, Dj Dune",Hoppetosse,,52.5178179,13.2025647,/events/2304645,23
Paloma Invites,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-20T06:00:00.000,"Victor Simonelli, Gabs Leyton",Paloma,,52.5141696,13.4646822,/events/2297322,19
at your SERVICE X-mas reunion,2025-12-19T00:00:00.000,2025-12-19T20:00:00.000,2025-12-20T06:00:00.000,"Ahni, Bent, Feasting, gammmarayy, GIO (goltara), Pleasure",arkaoda Berlin,,52.4738852,13.4425685,/events/2321089,18
"what the fluff?! /// Susi&Paula, Stephan.., Steffi Obscura, anahï",2025-12-19T00:00:00.000,2025-12-19T23:00:00.000,2025-12-20T08:00:00.000,"Susi&Paula, anahï",Beate Uwe,,52.5174812,13.419024,/events/2315788,18
Fem-All,2025-12-19T00:00:00.000,2025-12-19T23:00:00.000,2025-12-20T11:00:00.000,"Stuckeyrella, maniaclina, Charlotte Lion, Sika Akis, Henny Freiheit",Der Weiße Hase,,52.5075831,13.4545322,/events/2303288,21
Years of Denial x KOROWABAR Cub Night,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-20T06:00:00.000,"Years of Denial, Tomo in der Muhlen, Unhuman",Urban Spree,,52.5076116,13.451645,/events/2326000,19
Houseland,2025-12-19T00:00:00.000,2025-12-19T22:30:00.000,2025-12-20T06:00:00.000,"Bombata, Dennis Beutler, Peet Flower",Bohnengold,,52.4975324,13.4241772,/events/2215730,16
XXXMAS Miracle on Kopenicker Strasse,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-20T07:00:00.000,"Moussa Barcelona, Tony Bruno, Yannick Weineck, Feel .MA, Jaycap",KitKatClub,,52.5112074,13.4169157,/events/2317759,20
"spæctra with Fukinsei, Seta Loto, Jaf Ge Nos and Pascoe",2025-12-19T00:00:00.000,2025-12-19T23:59:00.000,2025-12-20T08:00:00.000,"Fukinsei, Seta Loto, Pascoe",TBA - Nk,,,,/events/2314124,15
Friday • Running Hot + Secret Guest,2025-12-19T00:00:00.000,2025-12-19T21:00:00.000,2025-12-20T04:00:00.000,Running Hot,Orangerie Neukölln,,52.4708958,13.4368213,/events/2317955,12
Wundertüte Xmas,2025-12-19T00:00:00.000,2025-12-19T20:00:00.000,2025-12-20T06:00:00.000,"Boom Sister, brocki balboa, ennna.i, Hannes.., Léontine",Crack Bellmer,,52.5075865,13.4547707,/events/2320152,12
JUST DANCE,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-20T06:00:00.000,Shahrokh,Mom's Limousine Service,,,,/events/2319177,11
Klubnacht + Afterhour,2025-12-19T00:00:00.000,2025-12-19T23:59:00.000,2025-12-20T23:59:00.000,"Vans Hellwirth, Bee Lincoln, RYBA, Ancut, Samuel Fach, bela, Lasha Guruli",Golden Gate,,52.5159611,13.4169199,/events/2312093,9
Bad Dad with Sylvio B & Richii,2025-12-19T00:00:00.000,2025-12-19T23:00:00.000,2025-12-20T06:00:00.000,"Sylvio B, Richii, La Schmock, DJ City",Zur Klappe,,52.4930462,13.3871533,/events/2327025,9
MERRY CRISIS - neodyn x HRA x Oxytocin,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-20T06:00:00.000,"CHOREOPHILA, jojogigirl, TRYCK, Younes Jamil, Raban",Mena Berlin,,,,/events/2311854,7
Nucular Kollektiv Showcase: Süss War Gestern,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-20T07:00:00.000,"Makita6000, Phoebe (1), Moon In My Pocket, Bertha",Süss War Gestern,,52.5086027,13.4610994,/events/2324418,10
Avant Post [19.12],2025-12-19T00:00:00.000,2025-12-19T21:00:00.000,2025-12-20T04:00:00.000,"Pris V, Tau Ceti",Eschschloraque,,52.5244696,13.4017208,/events/2306855,5
RAWLAND: Fluffy Maybes + Cindy Gravity + NAMBY PAMBY (DJ-Set),2025-12-19T00:00:00.000,2025-12-19T20:00:00.000,2025-12-20T03:00:00.000,,Madame Claude,,52.4996096,13.4374056,/events/2315858,6
luca.and.friends. mit Luca ( Minimal Bar) & Freunde,2025-12-19T00:00:00.000,2025-12-19T18:00:00.000,2025-12-20T06:00:00.000,,Minimal Bar,,52.5164827,13.4639097,/events/2293522,4
BESTE REWIND Basement,2025-12-19T00:00:00.000,2025-12-19T19:00:00.000,2025-12-20T04:00:00.000,XIME,Beste Bar,,52.5438832,13.3606142,/events/2330346,4
Feel Nature Get Together: Psytech Edition,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-20T06:00:00.000,,Prisma,,52.5558768,13.5584086,/events/2325103,3
Betriebsfahrt,2025-12-19T00:00:00.000,2025-12-19T18:00:00.000,2025-12-20T04:00:00.000,"Hagel, Enzo V8",Bredouille,,52.5199841,13.3892969,/events/2327370,3
WKND HOSTED Nika Herero,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-20T06:00:00.000,"Nika Herero, Gojas",Weekend,,52.5229029,13.4164231,/events/2280129,2
Fluffy Maybes (Album Launch) + Cindy Gravity + Namby Pamby (DJ set),2025-12-19T00:00:00.000,2025-12-19T19:30:00.000,2025-12-19T23:59:00.000,,Madame Claude,,52.4996096,13.4374056,/events/2320150,2
Moon Night - Friday,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-20T06:00:00.000,,Soda Club,,52.5395232,13.4142448,/events/2300761,1
Vincent Manfuoco is playing at migas,2025-12-19T00:00:00.000,2025-12-19T20:00:00.000,2025-12-20T01:00:00.000,,"migas, a listening bar",,,,/events/2318929,1
Sid Vision + Riot Spears + A Lazy Cat // Neue Zukunft,2025-12-19T00:00:00.000,2025-12-19T20:00:00.000,2025-12-19T23:30:00.000,,Neue Zukunft,,52.4974597,13.4658621,/events/2323242,1
CALABADDIES,2025-12-19T00:00:00.000,2025-12-19T21:00:00.000,2025-12-20T03:30:00.000,"hi.fí, François Dulac, Miss T Delight",YSY,,52.5158118,13.4591706,/events/2327448,2
Stimmen in Aspik - Die Schlager-Party,2025-12-19T00:00:00.000,2025-12-19T21:00:00.000,2025-12-20T06:00:00.000,,Hafenbar Berlin,,52.4441694,13.6272436,/events/2298705,0
Sky-Bar Warmup - AfroHouse & DeepHouse,2025-12-19T00:00:00.000,2025-12-19T19:00:00.000,2025-12-20T02:00:00.000,,Solar,,52.5043141,13.3836872,/events/2309020,0
In the Äir Tonight,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-20T04:30:00.000,,Dunckerclub,,52.546204,13.4237144,/events/2310284,0
GOLDEN GODS GALA club erotic night,2025-12-19T00:00:00.000,2025-12-19T21:00:00.000,2025-12-20T06:00:00.000,,Marmorbar,,,,/events/2329439,0
Transmission Fields,2025-12-18T00:00:00.000,2025-12-18T00:00:00.000,2025-12-27T15:30:00.000,,PR55,,52.5173885,13.3951309,/events/2329901,0
