Event name,Date,Start Time,End Time,Artists,Venue,Venue Address,Venue Latitude,Venue Longitude,Event URL,Number of guests attending
SESH,2025-12-19T00:00:00.000,2025-12-19T23:00:00.000,2025-12-20T09:00:00.000,"NOVAH, MCR-T, Serafina, DJ Cringey, Gusted, PANA (Ger)",RSO.BERLIN,,52.459911,13.5053346,/events/2203367,2345
BERLIN FINEST - w/ Ben Techy ALMOST SOLD OUT,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-21T10:00:00.000,"Ben Techy, BAIRD, Brtinzz, Chemtrailz, Sopik, Arweenn, Monokrome, Karashò, Loren Plipki, TEØH, MMANU, RYX (1), D3VAN, Blck-Swan, H7 (3), HEMPTOTE, Pura Solenne, ZVEDRA","TBA - Warschauer Pl. 16, 10248 Berlin",,,,/events/2038043,903
"ONYX w / davyboi, DJ Achim Feuervogel [ALL NIGHT LONG], HiTMiLOW, Hurts b2b CARGO",2025-12-19T00:00:00.000,2025-12-19T23:00:00.000,2025-12-20T09:00:00.000,"DJ Achim Feuervogel, davyboi, HiTMiLØW, Hurts, CARGO (DE), Paul Meier, 3LEEZA, KARISH, two girls one mom",OST,,52.4970681,13.4650321,/events/2175939,798
Hakke Berlin presents: No Pizza Rave - 20 years anniversary (Mokum edition),2025-12-19T00:00:00.000,2025-12-19T23:00:00.000,2025-12-20T09:00:00.000,"The Twins Artcore, Viscerale, Der Schaffner, LØUS, FLUCC, Ema Leo, Alliezz, IceLipzz, Gysèle, Lena De Roose",Lokschuppen Berlin,,52.5071699,13.4510769,/events/2120538,709
// ETD SYNERGY SESSIONS VI - WINTER GAMES [10€ TIX],2025-12-19T00:00:00.000,2025-12-19T23:59:00.000,2025-12-20T10:00:00.000,"EMIRA, The Camel, HNX (030), KEROSENE (ZA), Nexus J, Ayham4real, LNZ., XHOUSTED, TAUREAN (2), JenTen, VNVK, sad.danic",ÆDEN,,52.497313,13.4495159,/events/2326253,810
"FINAL ROUND w Claudio PRC, Ø [Phase], Alienata, Michal Zietara, Catz 'N Dogz, Lush Lab, Annina",2025-12-19T00:00:00.000,2025-12-19T23:00:00.000,2025-12-20T10:00:00.000,"Claudio PRC, Ø [Phase], Alienata, Michal Zietara, Catz 'N Dogz, AZB (allzeitbereit), Annina, Revivis, Lush Lab, The Rhythm Vision",Renate,,52.4973901,13.4653065,/events/2266980,307
Sanctus pres. Opgekonkerd (NL),2025-12-19T00:00:00.000,2025-12-19T23:00:00.000,2025-12-20T09:00:00.000,"INTOX, Refl3ction, Kopflos, CRAIZ, RaVix",M-BIA,,52.5226319,13.4092273,/events/2317350,268
Midnight Mandala,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-20T04:00:00.000,"SNVM, DJ MLN, styxsid","TBA - Oranienstraße 140-142 , 10969 Berlin, Germany",,,,/events/2320598,192
Jack Your Body,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-20T06:00:00.000,"Honey Dijon, Juliana X, Luke Solomon",Berghain | Panorama Bar | Säule,,,,/events/2297127,151
Toy Tonics presents ITALOMANIA,2025-12-19T00:00:00.000,2025-12-19T23:00:00.000,2025-12-20T08:00:00.000,"Tommy Soul, Max NRG Supply, Luca Carluccio, Roberta Deflorio, Franz Scala, Sharlese",OXI,,52.5076121,13.4749435,/events/2304955,132
Seven Sins: The Last Sin of The Year,2025-12-19T00:00:00.000,2025-12-19T22:00:00.000,2025-12-20T06:00:00.000,Oblique,Insomnia,,52.4655581,13.3860876,/events/2307204,103
